Year	RK	Player	Team	G	REC	YDS	Y/R	YBC	YBC/R	AIR	AIR/R	YAC	YAC/R	YACON	YACON/R	BRKTKL	TGT	% TM	CATCHABLE	DROP	RZ TGT	10+ YDS	20+ YDS	30+ YDS	40+ YDS	50+ YDS	LNG
2025	1	Trey McBride	ARI	17	126	1,239	9.8	656	5.2	1,147	9.1	583	4.6	167	1.3	9	169	27.40%	128	2	32	51	12	1	0	0	31
2025	2	Dallas Goedert	PHI	15	60	591	9.9	357	6	583	9.7	234	3.9	59	1	3	82	17.70%	64	4	15	22	7	3	0	0	36
2025	3	Kyle Pitts Sr.	ATL	17	88	928	10.5	528	6	871	9.9	400	4.5	90	1	2	118	22.70%	91	2	11	43	12	2	0	0	36
2025	4	Hunter Henry	NE	17	60	768	12.8	433	7.2	692	11.5	335	5.6	64	1.1	1	87	18.00%	63	3	22	36	11	2	0	0	36
2025	5	Travis Kelce	KC	17	76	851	11.2	430	5.7	734	9.7	421	5.5	134	1.8	1	108	19.70%	83	7	11	40	9	4	1	0	44
2025	6	Harold Fannin Jr.	CLE	16	72	731	10.2	379	5.3	659	9.2	352	4.9	154	2.1	7	107	20.50%	76	4	10	30	8	2	0	0	35
2025	7	Tyler Warren	IND	17	76	817	10.8	343	4.5	610	8	474	6.2	118	1.6	4	112	21.10%	78	2	19	33	10	1	1	0	41
2025	8	Brock Bowers	LV	12	64	680	10.6	375	5.9	560	8.8	305	4.8	83	1.3	3	86	17.40%	68	4	16	24	8	3	0	0	38
2025	9	Colston Loveland	CHI	16	58	713	12.3	463	8	741	12.8	250	4.3	99	1.7	4	82	15.40%	61	1	14	28	10	5	1	1	58
2025	10	Jake Ferguson	DAL	17	82	600	7.3	293	3.6	476	5.8	307	3.7	78	1	6	102	16.80%	84	2	23	23	2	0	0	0	26
2025	11	George Kittle	SF	11	57	628	11	376	6.6	459	8.1	252	4.4	75	1.3	2	69	12.50%	58	1	12	30	9	2	0	0	33
