Player	Team	Pos	Bye Week	Depth Chart	2025 Projected Fantasy Points	VBD	Week 1	Week 2	Week 3	Week 4	Week 5	Week6	Week 7	Week 8	Week 9	Week 10	Week 11	Week 12	Week 13	Week 14	Week 15	Week 16	Week 17	Week 18	
Ja'Marr Chase	WR	CIN	10	WR1	352.85	150.93	21.92	22.54	24.02	19.82	23.34	18.65	19.95	18.77	18.03	0.00	19.95	20.32	22.05	20.50	22.05	18.83	20.19	21.92	352.85
Bijan Robinson	RB	ATL	5	RB1	320.44	138.81	15.67	15.67	23.89	19.38	0.00	19.86	20.41	17.17	19.70	19.15	23.89	19.46	16.22	17.88	15.67	19.54	17.41	19.46	320.44
Jahmyr Gibbs	RB	DET	8	RB1	315.34	133.71	19.25	21.99	16.60	16.85	19.25	14.89	16.94	0.00	16.94	20.96	14.46	21.64	19.25	19.93	18.82	18.65	16.94	21.99	315.34
Saquon Barkley	RB	PHI	9	RB1	311.29	129.66	19.01	14.19	17.95	16.15	17.86	20.64	16.15	20.64	0.00	18.35	16.31	19.01	20.96	15.66	17.95	19.99	20.48	19.99	311.29
De'Von Achane	RB	MIA	12	RB1	292.66	111.03	18.22	18.74	18.89	15.43	22.73	14.45	14.83	16.48	14.60	18.89	18.44	0.00	18.52	15.43	16.41	16.94	14.90	18.74	292.66
Justin Jefferson	WR	MIN	6	WR1	311.31	109.39	16.04	20.38	17.08	17.74	19.50	0.00	17.08	18.51	20.76	19.61	16.04	16.59	18.62	17.85	19.83	18.29	20.76	16.59	311.31
CeeDee Lamb	WR	DAL	10	WR1	308.04	106.12	17.14	18.36	16.10	16.65	16.76	19.13	17.92	17.70	18.03	0.00	17.47	17.14	18.52	20.84	21.44	18.58	17.92	18.36	308.04
Christian McCaffrey	RB	SF	14	RB1	285.89	104.26	16.21	17.65	17.72	19.30	15.78	14.20	15.71	12.70	18.15	15.78	17.72	21.67	14.13	0.00	17.15	17.36	18.44	16.21	285.89
Malik Nabers	WR	NYG	14	WR1	305.22	103.30	17.51	19.45	18.10	18.16	19.40	16.76	17.29	16.76	16.70	15.73	16.27	20.37	17.73	0.00	17.51	20.96	17.08	19.45	305.22
Derrick Henry	RB	BAL	7	RB1	278.20	96.57	19.12	15.00	15.23	13.25	13.48	16.75	0.00	19.57	16.53	15.08	15.00	15.61	17.14	16.60	17.14	18.96	17.14	16.60	278.20
Puka Nacua	WR	LAR	8	WR1	294.01	92.09	16.70	15.27	15.83	17.15	15.78	18.17	18.58	0.00	18.32	15.78	17.26	18.83	17.66	16.64	19.24	17.26	18.88	16.64	294.01
Amon-Ra St. Brown	WR	DET	8	WR1	293.41	91.49	15.66	15.14	18.51	18.40	16.12	17.42	19.18	0.00	20.17	16.85	16.12	17.26	15.66	18.71	16.17	16.74	20.17	15.14	293.41
Josh Jacobs	RB	GB	5	RB1	270.54	88.91	14.19	17.39	13.98	16.54	0.00	15.97	17.53	15.47	21.43	11.99	17.96	14.05	14.19	18.24	15.54	18.24	13.77	14.05	270.54
Brock Bowers	TE	LV	8	TE1	253.08	86.27	14.29	13.31	15.28	15.53	18.36	11.46	17.62	0.00	16.63	14.91	13.06	17.00	13.31	14.91	13.68	14.66	11.46	17.62	253.08
Brian Thomas Jr.	WR	JAC	8	WR1	285.88	83.96	18.07	16.19	17.08	16.14	17.49	17.65	16.24	0.00	16.50	17.08	17.55	17.02	15.62	17.55	15.83	16.71	17.55	15.62	285.88
Ashton Jeanty	RB	LV	8	RB1	265.14	83.51	17.84	13.76	17.56	18.42	17.34	17.13	12.47	0.00	19.28	15.69	16.70	14.12	13.76	15.69	12.11	12.68	18.13	12.47	265.14
Kyren Williams	RB	LAR	8	RB1	258.20	76.57	11.67	15.75	11.14	15.95	17.01	12.79	17.73	0.00	16.22	17.01	14.90	13.05	19.91	16.28	13.18	14.90	14.44	16.28	258.20
Trey McBride	TE	ARI	8	TE1	242.93	76.12	12.50	16.52	12.16	12.94	10.38	16.63	14.28	0.00	11.83	12.94	12.16	15.06	15.51	17.18	13.28	13.84	18.52	17.18	242.93
Nico Collins	WR	HOU	6	WR1	277.76	75.84	15.31	18.15	17.91	14.72	17.51	0.00	16.63	15.21	15.75	17.91	14.72	16.29	16.53	16.48	16.04	15.55	16.53	16.53	277.76
Alvin Kamara	RB	NO	11	RB1	256.86	75.23	15.63	16.32	14.30	15.88	16.01	15.75	16.26	12.53	13.92	19.11	0.00	13.86	13.73	12.53	19.11	12.97	15.12	13.86	256.86
Chase Brown	RB	CIN	10	RB1	256.24	74.61	13.44	18.36	13.51	14.94	13.65	15.35	14.88	13.99	17.54	0.00	14.88	16.99	13.24	17.13	13.24	14.81	16.86	13.44	256.24
Bucky Irving	RB	TB	9	RB1	254.81	73.18	14.12	11.41	13.21	10.89	14.57	16.63	12.89	15.86	0.00	16.05	16.18	14.18	15.92	15.86	14.12	19.47	13.99	19.47	254.81
Jonathan Taylor	RB	IND	11	RB1	251.18	69.55	14.42	14.55	15.88	14.62	14.62	16.41	12.76	15.88	14.49	14.55	0.00	11.56	11.76	17.88	15.02	17.14	17.88	11.76	251.18
George Kittle	TE	SF	14	TE1	234.90	68.08	12.94	12.49	10.60	15.06	17.18	15.50	13.83	13.27	10.37	17.18	10.60	16.51	15.39	0.00	10.37	16.62	14.05	12.94	234.90
Lamar Jackson	QB	BAL	7	QB1	454.37	63.89	28.14	27.66	29.26	27.98	26.86	28.30	0.00	21.90	22.54	24.30	27.66	26.06	31.34	25.58	31.34	25.74	24.14	25.58	454.37
Davante Adams	WR	LAR	8	WR2	264.61	62.69	15.03	13.74	14.25	15.44	14.20	16.35	16.72	0.00	16.49	14.20	15.53	16.95	15.90	14.98	17.32	15.53	17.00	14.98	264.61
Ladd McConkey	WR	LAC	12	WR1	263.43	61.51	15.74	14.85	15.03	15.60	15.22	14.28	15.78	18.22	14.05	15.13	17.09	0.00	14.85	14.56	15.74	16.91	15.36	15.03	263.43
Drake London	WR	ATL	5	WR1	263.24	61.32	16.90	17.77	15.85	14.85	0.00	15.16	14.16	13.93	15.03	15.39	15.85	16.44	13.89	15.48	16.90	14.94	14.25	16.44	263.24
Breece Hall	RB	NYJ	9	RB1	242.50	60.87	13.37	15.39	12.14	13.31	14.29	13.43	18.52	13.80	0.00	12.08	15.27	11.90	13.43	13.31	16.50	15.09	15.27	15.39	242.50
Josh Allen	QB	BUF	7	QB1	449.91	59.43	28.23	25.28	21.87	24.97	24.97	31.17	0.00	32.10	27.14	21.87	31.02	26.05	24.81	30.40	24.97	26.83	22.95	25.28	449.91
A.J. Brown	WR	PHI	9	WR1	260.74	58.82	16.44	15.31	14.21	16.85	14.62	15.17	17.72	15.17	0.00	13.76	17.22	16.44	13.30	15.35	14.44	14.80	15.12	14.80	260.74
Kenneth Walker III	RB	SEA	8	RB1	237.98	56.35	15.34	12.96	14.63	14.68	11.77	15.99	10.52	0.00	14.57	14.68	13.08	14.21	11.77	13.02	14.39	13.08	17.95	15.34	237.98
Tee Higgins	WR	CIN	10	WR2	258.03	56.11	16.03	16.48	17.57	14.50	17.07	13.64	14.59	13.73	13.19	0.00	14.59	14.86	16.12	14.99	16.12	13.77	14.77	16.03	258.03
Tyreek Hill	WR	MIA	12	WR1	257.30	55.38	15.15	14.79	14.93	13.67	15.60	15.15	15.96	16.68	16.05	14.93	14.61	0.00	16.19	13.67	14.52	13.98	16.64	14.79	257.30
Jaxon Smith-Njigba	WR	SEA	8	WR1	255.67	53.75	13.87	14.45	16.11	14.63	16.56	16.33	14.68	0.00	14.54	14.63	13.96	13.43	17.41	16.60	15.08	13.96	15.53	13.87	255.67
Mike Evans	WR	TB	9	WR1	252.80	50.88	16.37	14.47	13.41	13.72	14.95	13.67	16.67	15.88	0.00	14.51	14.64	13.76	14.42	15.88	16.37	15.31	13.45	15.31	252.80
James Cook	RB	BUF	7	RB1	230.76	49.13	12.23	12.92	13.68	15.51	15.70	13.80	0.00	19.04	10.97	13.68	12.48	11.16	13.74	14.18	15.70	12.42	10.65	12.92	230.76
