Round	Pick	Team	Player	Position	NFL Team	Conference	Year
1	1	Unicorns & Creemees	Bijan Robinson	RB	ATL	North	2025
1	2	Maryland Madness	Ja'Marr Chase	WR	CIN	North	2025
1	3	Cosmo's Crew	Justin Jefferson	WR	MIN	North	2025
1	4	Hail To The Chef	Jahmyr Gibbs	RB	DET	North	2025
1	5	Raptors	Saquon Barkley	RB	PHI	North	2025
1	6	Offensive Lyonmen	CeeDee Lamb	WR	DAL	North	2025
1	7	Steers & Beers	Derrick Henry	RB	BAL	North	2025
1	8	Playoff Donkeys	Malik Nabers	WR	NYG	North	2025
1	9	Wookie of the Year	Amon-Ra St. Brown	WR	DET	North	2025
1	10	AFCCP	Puka Nacua	WR	LAR	North	2025
1	11	Poner	Nico Collins	WR	HOU	North	2025
1	12	Renegades	De'Von Achane	RB	MIA	North	2025
2	13	Renegades	Brian Thomas Jr.	WR	JAC	North	2025
2	14	Poner	Christian McCaffrey	RB	SFO	North	2025
2	15	AFCCP	Jaxon Smith-Njigba	WR	SEA	North	2025
2	16	Wookie of the Year	Jonathan Taylor	RB	IND	North	2025
2	17	Playoff Donkeys	Drake London	WR	ATL	North	2025
2	18	Steers & Beers	Ashton Jeanty	RB	LVR	North	2025
2	19	Offensive Lyonmen	A.J. Brown	WR	PHI	North	2025
2	20	Raptors	Josh Jacobs	RB	GBP	North	2025
2	21	Hail To The Chef	Chase Brown	RB	CIN	North	2025
2	22	Cosmo's Crew	Bucky Irving	RB	TBB	North	2025
2	23	Maryland Madness	Brock Bowers	TE	LVR	North	2025
2	24	Unicorns & Creemees	Kyren Williams	RB	LAR	North	2025
3	25	Unicorns & Creemees	Josh Allen	QB	BUF	North	2025
3	26	Maryland Madness	Lamar Jackson	QB	BAL	North	2025
3	27	Cosmo's Crew	Ladd McConkey	WR	LAC	North	2025
3	28	Hail To The Chef	Trey McBride	TE	ARI	North	2025
3	29	Raptors	Tee Higgins	WR	CIN	North	2025
3	30	Offensive Lyonmen	Joe Burrow	QB	CIN	North	2025
3	31	Steers & Beers	Breece Hall	RB	NYJ	North	2025
3	32	Playoff Donkeys	George Kittle	TE	SFO	North	2025
3	33	Wookie of the Year	Jayden Daniels	QB	WAS	North	2025
3	34	AFCCP	Kenneth Walker III	RB	SEA	North	2025
3	35	Poner	Jalen Hurts	QB	PHI	North	2025
3	36	Renegades	Alvin Kamara	RB	NOS	North	2025
4	37	Renegades	Patrick Mahomes	QB	KCC	North	2025
4	38	Poner	Garrett Wilson	WR	NYJ	North	2025
4	39	AFCCP	Bo Nix	QB	DEN	North	2025
4	40	Wookie of the Year	Tyreek Hill	WR	MIA	North	2025
4	41	Playoff Donkeys	Davante Adams	WR	LAR	North	2025
4	42	Steers & Beers	Kyler Murray	QB	ARI	North	2025
4	43	Offensive Lyonmen	James Conner	RB	ARI	North	2025
4	44	Raptors	Mike Evans	WR	TBB	North	2025
4	45	Hail To The Chef	James Cook	RB	BUF	North	2025
4	46	Cosmo's Crew	Omarion Hampton	RB	LAC	North	2025
4	47	Maryland Madness	Chuba Hubbard	RB	CAR	North	2025
4	48	Unicorns & Creemees	Marvin Harrison Jr.	WR	ARI	North	2025
5	49	Unicorns & Creemees	DK Metcalf	WR	PIT	North	2025
5	50	Maryland Madness	TreVeyon Henderson	RB	NEP	North	2025
5	51	Cosmo's Crew	Jameson Williams	WR	DET	North	2025
5	52	Hail To The Chef	Baker Mayfield	QB	TBB	North	2025
5	53	Raptors	David Montgomery	RB	DET	North	2025
