Rank	Player	Team	Pos	Avg Stars	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18
1	Josh Allen	BUF	QB	3.06	1	3	2	4	3	3	BYE	2	2	4	4	3	4	3	5	1	4	4
2	Lamar Jackson	BAL	QB	3.18	3	2	5	5	3	2	4	3	3	2	3	1	BYE	4	4	2	4	4
3	Drake Maye	NE	QB	3.06	1	4	3	3	3	4	5	4	3	3	BYE	2	3	2	3	4	1	4
4	Joe Burrow	CIN	QB	3.06	4	1	4	3	4	BYE	2	5	3	4	5	2	2	3	3	3	2	2
5	Jayden Daniels	WAS	QB	3.06	2	5	1	3	3	4	BYE	2	3	3	4	3	5	1	3	2	3	5
6	Jalen Hurts	PHI	QB	3.59	5	5	5	3	3	3	5	5	3	BYE	4	5	3	3	1	1	4	3
7	Caleb Williams	CHI	QB	2.88	3	2	2	4	3	3	4	1	4	BYE	2	3	3	4	3	3	3	2
8	Justin Herbert	LAC	QB	2.76	3	3	3	1	1	3	BYE	3	1	2	4	4	4	3	4	4	3	1
9	Dak Prescott	DAL	QB	3.06	3	5	2	1	4	3	2	3	3	4	5	2	1	BYE	3	3	3	5
10	Trevor Lawrence	JAC	QB	3.24	2	1	4	4	2	1	BYE	3	2	5	3	5	5	4	1	5	5	3
11	Brock Purdy	SF	QB	2.76	3	4	3	1	1	5	3	BYE	3	5	2	1	3	3	2	3	2	3
12	Jaxson Dart	NYG	QB	3.18	5	3	5	3	5	2	1	BYE	2	5	3	3	4	1	2	3	5	2
13	Patrick Mahomes II	KC	QB	2.82	1	3	4	3	BYE	2	1	1	4	3	3	3	3	4	4	4	2	3
14	Bo Nix	DEN	QB	3.06	3	3	3	4	2	1	3	3	3	BYE	3	4	4	4	3	3	4	2
15	Matthew Stafford	LAR	QB	2.94	4	3	1	2	3	3	3	2	5	3	BYE	3	3	4	5	1	4	1
16	Jared Goff	DET	QB	3.41	2	3	4	3	3	BYE	3	2	4	4	4	5	3	5	2	3	5	3
17	Kyler Murray	MIN	QB	3.59	3	5	4	4	2	BYE	3	3	3	3	4	3	3	4	3	5	4	5
18	Jordan Love	GB	QB	3.29	2	4	3	4	5	5	3	3	4	2	BYE	3	2	3	4	5	1	3
19	Baker Mayfield	TB	QB	3	4	2	2	3	5	4	3	3	5	BYE	3	3	2	2	2	3	3	2
20	Tyler Shough	NO	QB	3.18	3	2	3	3	2	3	4	BYE	2	3	5	4	3	3	4	3	3	4
21	Malik Willis	MIA	QB	3.24	3	4	3	2	4	BYE	4	4	3	3	3	4	1	5	3	2	3	4
22	C.J. Stroud	HOU	QB	3.35	3	4	3	5	5	3	3	BYE	2	2	3	2	4	5	3	2	3	5
23	Sam Darnold	SEA	QB	3.29	4	3	5	2	4	1	3	5	3	3	BYE	4	5	3	2	3	3	3
24	Cam Ward	TEN	QB	3	4	2	3	2	1	3	2	4	BYE	3	5	3	5	3	3	3	4	1
25	Daniel Jones	IND	QB	3.18	2	3	1	5	4	5	2	3	5	4	1	3	BYE	2	5	4	2	3
26	Bryce Young	CAR	QB	2.76	5	3	2	3	BYE	2	4	3	1	2	2	4	2	2	4	4	1	3
27	Jacoby Brissett	ARI	QB	2.88	2	1	4	3	3	3	1	5	1	3	3	5	2	BYE	4	2	3	4
28	Geno Smith	NYJ	QB	3.18	5	3	3	5	2	4	4	3	3	3	2	4	BYE	1	3	4	2	3
29	Aaron Rodgers	PIT	QB	2.76	3	4	4	2	3	4	2	2	BYE	4	2	1	1	3	2	3	5	2
30	Tua Tagovailoa	ATL	QB	3.24	4	3	3	2	2	5	4	4	4	3	BYE	2	3	2	5	4	2	3
31	Fernando Mendoza	LV	QB	2.76	4	2	2	3	4	3	3	4	4	1	1	2	BYE	2	1	5	3	3
32	Shedeur Sanders	CLE	QB	3.18	3	4	3	4	4	2	5	4	2	1	BYE	3	4	3	3	2	3	4
33	Michael Penix Jr.	ATL	QB	3.24	4	3	3	2	2	5	4	4	4	3	BYE	2	3	2	5	4	2	3
34	Kirk Cousins	LV	QB	2.76	4	2	2	3	4	3	3	4	4	1	1	2	BYE	2	1	5	3	3
35	Deshaun Watson	CLE	QB	3.18	3	4	3	4	4	2	5	4	2	1	BYE	3	4	3	3	2	3	4
36	J.J. McCarthy	MIN	QB	3.59	3	5	4	4	2	BYE	3	3	3	3	4	3	3	4	3	5	4	5
37	Mac Jones	SF	QB	2.76	3	4	3	1	1	5	3	BYE	3	5	2	1	3	3	2	3	2	3
38	Carson Beck	ARI	QB	2.88	2	1	4	3	3	3	1	5	1	3	3	5	2	BYE	4	2	3	4
39	Ty Simpson	LAR	QB	2.94	4	3	1	2	3	3	3	2	5	3	BYE	3	3	4	5	1	4	1
40	Justin Fields	KC	QB	2.82	1	3	4	3	BYE	2	1	1	4	3	3	3	3	4	4	4	2	3
41	Anthony Richardson Sr.	IND	QB	3.18	2	3	1	5	4	5	2	3	5	4	1	3	BYE	2	5	4	2	3
42	Joe Flacco	CIN	QB	3.06	4	1	4	3	4	BYE	2	5	3	4	5	2	2	3	3	3	2	2
43	Jameis Winston	NYG	QB	3.18	5	3	5	3	5	2	1	BYE	2	5	3	3	4	1	2	3	5	2
44	Marcus Mariota	WAS	QB	3.06	2	5	1	3	3	4	BYE	2	3	3	4	3	5	1	3	2	3	5
45	Joe Milton III	DAL	QB	3.06	3	5	2	1	4	3	2	3	3	4	5	2	1	BYE	3	3	3	5
46	Gardner Minshew II	ARI	QB	2.88	2	1	4	3	3	3	1	5	1	3	3	5	2	BYE	4	2	3	4
47	Quinn Ewers	MIA	QB	3.24	3	4	3	2	4	BYE	4	4	3	3	3	4	1	5	3	2	3	4
48	Riley Leonard	IND	QB	3.18	2	3	1	5	4	5	2	3	5	4	1	3	BYE	2	5	4	2	3
49	Tyrod Taylor	GB	QB	3.29	2	4	3	4	5	5	3	3	4	2	BYE	3	2	3	4	5	1	3
50	Cade Klubnik	NYJ	QB	3.18	5	3	3	5	2	4	4	3	3	3	2	4	BYE	1	3	4	2	3
51	Spencer Rattler	NO	QB	3.18	3	2	3	3	2	3	4	BYE	2	3	5	4	3	3	4	3	3	4
52	Trey Lance	LAC	QB	2.76	3	3	3	1	1	3	BYE	3	1	2	4	4	4	3	4	4	3	1
53	Tyson Bagent	CHI	QB	2.88	3	2	2	4	3	3	4	1	4	BYE	2	3	3	4	3	3	3	2
54	Kenny Pickett	CAR	QB	2.76	5	3	2	3	BYE	2	4	3	1	2	2	4	2	2	4	4	1	3
55	Jarrett Stidham	DEN	QB	3.06	3	3	3	4	2	1	3	3	3	BYE	3	4	4	4	3	3	4	2
56	Tyler Huntley	BAL	QB	3.18	3	2	5	5	3	2	4	3	3	2	3	1	BYE	4	4	2	4	4
57	Davis Mills	HOU	QB	3.35	3	4	3	5	5	3	3	BYE	2	2	3	2	4	5	3	2	3	5
58	Kyle Allen	BUF	QB	3.06	1	3	2	4	3	3	BYE	2	2	4	4	3	4	3	5	1	4	4
59	Jake Browning	TB	QB	3	4	2	2	3	5	4	3	3	5	BYE	3	3	2	2	2	3	3	2
60	Tanner McKee	PHI	QB	3.59	5	5	5	3	3	3	5	5	3	BYE	4	5	3	3	1	1	4	3
61	Jalen Milroe	SEA	QB	3.29	4	3	5	2	4	1	3	5	3	3	BYE	4	5	3	2	3	3	3
62	Tommy DeVito	NE	QB	3.06	1	4	3	3	3	4	5	4	3	3	BYE	2	3	2	3	4	1	4
63	Mitchell Trubisky	TEN	QB	3	4	2	3	2	1	3	2	4	BYE	3	5	3	5	3	3	3	4	1
64	Drew Lock	SEA	QB	3.29	4	3	5	2	4	1	3	5	3	3	BYE	4	5	3	2	3	3	3
65	Drew Allar	PIT	QB	2.76	3	4	4	2	3	4	2	2	BYE	4	2	1	1	3	2	3	5	2
66	Nick Mullens	JAC	QB	3.24	2	1	4	4	2	1	BYE	3	2	5	3	5	5	4	1	5	5	3
67	Mason Rudolph	PIT	QB	2.76	3	4	4	2	3	4	2	2	BYE	4	2	1	1	3	2	3	5	2
68	Teddy Bridgewater	DET	QB	3.41	2	3	4	3	3	BYE	3	2	4	4	4	5	3	5	2	3	5	3
69	Will Levis	TEN	QB	3	4	2	3	2	1	3	2	4	BYE	3	5	3	5	3	3	3	4	1
70	Andy Dalton	PHI	QB	3.59	5	5	5	3	3	3	5	5	3	BYE	4	5	3	3	1	1	4	3
71	Garrett Nussmeier	KC	QB	2.82	1	3	4	3	BYE	2	1	1	4	3	3	3	3	4	4	4	2	3
72	Zach Wilson	NO	QB	3.18	3	2	3	3	2	3	4	BYE	2	3	5	4	3	3	4	3	3	4
73	Sam Howell	DAL	QB	3.06	3	5	2	1	4	3	2	3	3	4	5	2	1	BYE	3	3	3	5
74	Jimmy Garoppolo	LAR	QB	2.94	4	3	1	2	3	3	3	2	5	3	BYE	3	3	4	5	1	4	1
75	Dillon Gabriel	CLE	QB	3.18	3	4	3	4	4	2	5	4	2	1	BYE	3	4	3	3	2	3	4
