Team	G	Att	Yds	TD	1D	YBC	YBC/Att	YAC	YAC/Att	BrkTkl	Att/Br
Arizona Cardinals	17	366	1583	9	91	949	2.6	634	1.7	22	16.6
Atlanta Falcons	17	477	2138	17	113	1203	2.5	935	2	31	15.4
Baltimore Ravens	17	507	2662	23	146	1594	3.1	1068	2.1	24	21.1
Buffalo Bills	17	547	2714	30	146	1589	2.9	1125	2.1	35	15.6
Carolina Panthers	17	461	1977	9	109	1148	2.5	829	1.8	18	25.6
Chicago Bears	17	505	2456	19	142	1578	3.1	878	1.7	26	19.4
Cincinnati Bengals	17	381	1591	11	102	857	2.2	734	1.9	22	17.3
Cleveland Browns	17	421	1649	10	100	761	1.8	888	2.1	31	13.6
Dallas Cowboys	17	465	2136	18	120	1192	2.6	944	2	33	14.1
Denver Broncos	17	456	2018	18	111	1182	2.6	836	1.8	20	22.8
Detroit Lions	17	442	2041	21	103	1257	2.8	784	1.8	23	19.2
Green Bay Packers	17	492	2037	18	124	1082	2.2	955	1.9	30	16.4
Houston Texans	17	475	1852	9	99	997	2.1	855	1.8	23	20.7
Indianapolis Colts	17	442	2007	27	122	1073	2.4	934	2.1	29	15.2
Jacksonville Jaguars	17	489	1956	22	124	1085	2.2	871	1.8	22	22.2
Kansas City Chiefs	17	430	1812	15	122	1128	2.6	684	1.6	14	30.7
Las Vegas Raiders	17	369	1317	5	67	601	1.6	716	1.9	30	12.3
Los Angeles Chargers	17	466	2067	10	117	1218	2.6	849	1.8	24	19.4
Los Angeles Rams	17	465	2152	17	126	1307	2.8	845	1.8	35	13.3
Miami Dolphins	17	432	2044	14	104	950	2.2	1094	2.5	38	11.4
Minnesota Vikings	17	410	1841	15	102	1001	2.4	840	2	27	15.2
New England Patriots	17	494	2191	22	128	1265	2.6	926	1.9	33	15
New Orleans Saints	17	435	1603	9	101	895	2.1	708	1.6	31	14
New York Giants	17	511	2195	22	141	1387	2.7	808	1.6	16	31.9
New York Jets	17	456	2096	11	115	1322	2.9	774	1.7	18	25.3
Philadelphia Eagles	17	478	1988	17	108	1243	2.6	745	1.6	33	14.5
Pittsburgh Steelers	17	407	1756	16	109	930	2.3	826	2	42	9.7
San Francisco 49ers	17	481	1817	15	119	1130	2.3	687	1.4	23	20.9
Seattle Seahawks	17	507	2096	19	125	1256	2.5	840	1.7	42	12.1
Tampa Bay Buccaneers	17	472	1947	13	115	1274	2.7	673	1.4	31	15.2
Tennessee Titans	17	378	1589	9	85	960	2.5	629	1.7	24	15.8
Washington Commanders	17	484	2290	20	123	1216	2.5	1074	2.2	38	12.7
