Team	WR Targets	WR %	RB Targets	RB %	TE Targets	TE %	Total Targets	Year
Arizona Cardinals	275	44.6	124	20.1	218	35.3	617	2025
Cincinnati Bengals	367	60.5	111	18.3	129	21.3	607	2025
Dallas Cowboys	387	63.8	82	13.5	138	22.7	607	2025
Denver Broncos	351	60.3	117	20.1	114	19.6	582	2025
Los Angeles Rams	367	63.2	64	11	150	25.8	581	2025
New Orleans Saints	344	61.1	77	13.7	142	25.2	563	2025
Houston Texans	346	62.6	77	13.9	130	23.5	553	2025
Detroit Lions	335	60.9	123	22.4	92	16.7	550	2025
San Francisco 49ers	250	45.5	169	30.8	130	23.7	549	2025
Kansas City Chiefs	312	56.9	89	16.2	147	26.8	548	2025
Jacksonville Jaguars	364	66.5	78	14.3	105	19.2	547	2025
Los Angeles Chargers	371	68.7	70	13	99	18.3	540	2025
Tampa Bay Buccaneers	362	67.2	91	16.9	86	16	539	2025
Chicago Bears	315	59.4	79	14.9	136	25.7	530	2025
Tennessee Titans	296	56	93	17.6	140	26.5	529	2025
Indianapolis Colts	312	59.1	77	14.6	139	26.3	528	2025
Cleveland Browns	232	44.5	120	23	169	32.4	521	2025
Pittsburgh Steelers	233	44.8	132	25.4	155	29.8	520	2025
Atlanta Falcons	272	52.5	119	23	127	24.5	518	2025
New York Giants	301	60	99	19.7	102	20.3	502	2025
Las Vegas Raiders	242	49.1	95	19.3	156	31.6	493	2025
New England Patriots	283	58.8	83	17.3	115	23.9	481	2025
Carolina Panthers	289	60.2	92	19.2	99	20.6	480	2025
Buffalo Bills	270	56.4	88	18.4	121	25.3	479	2025
New York Jets	271	57.5	84	17.8	116	24.6	471	2025
Minnesota Vikings	294	62.8	80	17.1	94	20.1	468	2025
Philadelphia Eagles	291	62.7	69	14.9	104	22.4	464	2025
Miami Dolphins	245	53.1	114	24.7	102	22.1	461	2025
Green Bay Packers	284	61.7	78	17	98	21.3	460	2025
Seattle Seahawks	290	63.7	62	13.6	103	22.6	455	2025
Washington Commanders	272	63.1	55	12.8	104	24.1	431	2025
Baltimore Ravens	211	51.8	73	17.9	123	30.2	407	2025
Cleveland Browns	381	60.1	87	13.7	166	26.2	634	2024
Cincinnati Bengals	371	59.2	101	16.1	155	24.7	627	2024
Dallas Cowboys	397	64.1	86	13.9	136	22	619	2024
Las Vegas Raiders	281	47.5	112	19	198	33.5	591	2024
New York Jets	366	62.1	115	19.5	108	18.3	589	2024
Kansas City Chiefs	283	49.7	94	16.5	192	33.7	569	2024
Seattle Seahawks	345	60.6	110	19.3	114	20	569	2024
Miami Dolphins	286	50.4	131	23.1	151	26.6	568	2024
Tampa Bay Buccaneers	335	59.5	121	21.5	107	19	563	2024
New York Giants	402	72.6	88	15.9	64	11.6	554	2024
Denver Broncos	359	65.5	117	21.4	72	13.1	548	2024
Houston Texans	341	62.5	94	17.2	111	20.3	546	2024
Los Angeles Rams	403	74.5	55	10.2	83	15.3	541	2024
Atlanta Falcons	367	68.1	85	15.8	87	16.1	539	2024
Chicago Bears	380	72.1	77	14.6	70	13.3	527	2024
Arizona Cardinals	250	47.8	95	18.2	178	34	523	2024
Jacksonville Jaguars	302	57.9	83	15.9	137	26.2	522	2024
Detroit Lions	309	59.5	110	21.2	100	19.3	519	2024
Minnesota Vikings	315	60.8	86	16.6	117	22.6	518	2024
New Orleans Saints	238	46	135	26.1	144	27.9	517	2024
Carolina Panthers	341	66.3	90	17.5	83	16.1	514	2024
San Francisco 49ers	312	60.8	91	17.7	110	21.4	513	2024
Tennessee Titans	282	55.7	95	18.8	129	25.5	506	2024
Washington Commanders	315	62.6	79	15.7	109	21.7	503	2024
New England Patriots	256	51.4	83	16.7	159	31.9	498	2024
Buffalo Bills	295	59.6	82	16.6	118	23.8	495	2024
Indianapolis Colts	351	71.5	65	13.2	75	15.3	491	2024
Los Angeles Chargers	323	66.5	55	11.3	108	22.2	486	2024
Green Bay Packers	306	65.9	71	15.3	87	18.8	464	2024
Pittsburgh Steelers	229	49.9	109	23.7	121	26.4	459	2024
Baltimore Ravens	238	52.1	81	17.7	138	30.2	457	2024
Philadelphia Eagles	261	62.6	69	16.5	87	20.9	417	2024
Los Angeles Chargers	386	63	94	15.3	133	21.7	613	2023
Jacksonville Jaguars	349	57.5	91	15	167	27.5	607	2023
Minnesota Vikings	337	55.6	90	14.9	179	29.5	606	2023
Dallas Cowboys	379	62.6	100	16.5	126	20.8	605	2023
Washington Commanders	371	61.8	108	18	121	20.2	600	2023
Kansas City Chiefs	319	53.3	108	18.1	171	28.6	598	2023
Cleveland Browns	335	56.1	96	16.1	166	27.8	597	2023
Cincinnati Bengals	387	65.5	89	15.1	115	19.5	591	2023
New Orleans Saints	320	55.3	128	22.1	131	22.6	579	2023
Detroit Lions	333	58.3	102	17.9	136	23.8	571	2023
Houston Texans	366	64.8	71	12.6	128	22.7	565	2023
New York Jets	288	51.2	149	26.5	125	22.2	562	2023
Green Bay Packers	367	65.4	94	16.8	100	17.8	561	2023
Los Angeles Rams	398	71.7	69	12.4	88	15.9	555	2023
Tampa Bay Buccaneers	375	68.2	94	17.1	81	14.7	550	2023
Miami Dolphins	372	67.8	125	22.8	52	9.5	549	2023
Indianapolis Colts	344	63	83	15.2	119	21.8	546	2023
Seattle Seahawks	361	66.1	86	15.8	99	18.1	546	2023
Buffalo Bills	329	60.4	86	15.8	130	23.9	545	2023
New England Patriots	289	53.4	131	24.2	121	22.4	541	2023
Carolina Panthers	344	64.4	92	17.2	98	18.4	534	2023
Las Vegas Raiders	359	67.6	99	18.6	73	13.7	531	2023
Philadelphia Eagles	336	64	93	17.7	96	18.3	525	2023
Atlanta Falcons	209	41.2	124	24.5	174	34.3	507	2023
New York Giants	284	58.7	98	20.2	102	21.1	484	2023
Pittsburgh Steelers	277	57.2	114	23.6	93	19.2	484	2023
Arizona Cardinals	215	45	84	17.6	179	37.4	478	2023
Chicago Bears	259	54.3	106	22.2	112	23.5	477	2023
Denver Broncos	262	54.9	153	32.1	62	13	477	2023
Baltimore Ravens	287	60.3	79	16.6	110	23.1	476	2023
Tennessee Titans	272	57.1	106	22.3	98	20.6	476	2023
San Francisco 49ers	264	56.1	112	23.8	95	20.2	471	2023
Tampa Bay Buccaneers	458	63.3	147	20.3	118	16.3	723	2022
Los Angeles Chargers	381	55.6	178	26	126	18.4	685	2022
Minnesota Vikings	407	63.5	88	13.7	146	22.8	641	2022
Kansas City Chiefs	300	48.9	112	18.3	201	32.8	613	2022
Cincinnati Bengals	371	62	133	22.2	94	15.7	598	2022
New York Jets	345	58.8	126	21.5	116	19.8	587	2022
Indianapolis Colts	348	60.1	123	21.2	108	18.7	579	2022
Arizona Cardinals	348	60.2	112	19.4	118	20.4	578	2022
Jacksonville Jaguars	369	64.2	83	14.4	123	21.4	575	2022
Miami Dolphins	374	66.5	113	20.1	75	13.3	562	2022
Las Vegas Raiders	346	61.9	112	20	101	18.1	559	2022
Detroit Lions	349	62.7	115	20.6	93	16.7	557	2022
Houston Texans	294	52.8	132	23.7	131	23.5	557	2022
Buffalo Bills	367	66	112	20.1	77	13.8	556	2022
Seattle Seahawks	333	60.2	84	15.2	136	24.6	553	2022
Pittsburgh Steelers	315	57.5	95	17.3	138	25.2	548	2022
Dallas Cowboys	330	60.6	85	15.6	130	23.9	545	2022
Denver Broncos	297	55	122	22.6	121	22.4	540	2022
Green Bay Packers	327	60.7	116	21.5	96	17.8	539	2022
Washington Commanders	312	58.8	121	22.8	98	18.5	531	2022
Los Angeles Rams	331	64.1	63	12.2	122	23.6	516	2022
New England Patriots	293	57.1	123	24	97	18.9	513	2022
Cleveland Browns	285	56.3	88	17.4	133	26.3	506	2022
Philadelphia Eagles	351	69.5	61	12.1	93	18.4	505	2022
San Francisco 49ers	296	58.7	110	21.8	98	19.4	504	2022
New Orleans Saints	284	57.6	107	21.7	102	20.7	493	2022
New York Giants	315	64.4	109	22.3	65	13.3	489	2022
Baltimore Ravens	198	42.6	63	13.5	204	43.9	465	2022
Tennessee Titans	229	52.5	85	19.5	122	28	436	2022
Carolina Panthers	265	62.1	85	19.9	77	18	427	2022
Atlanta Falcons	228	57.3	66	16.6	104	26.1	398	2022
Chicago Bears	215	59.9	62	17.3	82	22.8	359	2022
