Player	Team	TGT	TGT %	REC	RecYDS	Y/R	20+Rec	RecTD	RushATT	RushYDS	RushTD	FL	G
Puka Nacua	LAR	166	28.6	129	1,715	13.3	27	10	10	105	1	1	16
Jaxon Smith-Njigba	SEA	163	36	119	1,793	15.1	27	10	7	36	0	1	17
Amon-Ra St. Brown	DET	172	31.4	117	1,401	12	19	11	3	9	0	0	17
Ja'Marr Chase	CIN	185	30.2	125	1,412	11.3	15	8	3	14	0	1	16
George Pickens	DAL	137	22.7	93	1,429	15.4	22	9	0	0	0	0	17
Chris Olave	NO	156	27.7	100	1,163	11.6	11	9	1	-3	0	0	16
Zay Flowers	BAL	118	28.9	86	1,211	14.1	19	5	10	62	1	3	17
Nico Collins	HOU	120	21.5	71	1,117	15.7	18	6	2	15	1	1	15
Davante Adams	LAR	114	19.6	60	789	13.2	14	14	0	0	0	0	14
Michael Wilson	ARI	126	20.1	78	1,006	12.9	14	7	0	0	0	0	17
A.J. Brown	PHI	121	26	78	1,003	12.9	14	7	0	0	0	0	15
Jameson Williams	DET	102	18.5	65	1,117	17.2	23	7	6	12	0	0	17
Courtland Sutton	DEN	124	21.1	74	1,017	13.7	17	7	0	0	0	0	17
Wan'Dale Robinson	NYG	140	28	92	1,014	11	14	4	3	5	0	0	16
Tee Higgins	CIN	98	16.1	59	846	14.3	14	11	0	0	0	0	15
Tetairoa McMillan	CAR	122	25.6	70	1,014	14.5	17	7	0	0	0	1	17
Stefon Diggs	NE	102	21.1	85	1,013	11.9	17	4	0	0	0	0	17
Michael Pittman Jr.	IND	111	21	80	784	9.8	5	7	0	0	0	0	17
Drake London	ATL	112	21.4	68	919	13.5	13	7	0	0	0	1	12
DeVonta Smith	PHI	113	24.3	77	1,008	13.1	14	4	0	0	0	0	17
Justin Jefferson	MIN	141	30.4	84	1,048	12.5	12	2	2	7	0	0	17
CeeDee Lamb	DAL	117	19.2	75	1,077	14.4	16	3	1	2	0	0	14
Emeka Egbuka	TB	127	23.7	63	938	14.9	20	6	2	9	0	0	17
Jaylen Waddle	MIA	100	21.8	64	910	14.2	14	6	2	28	0	0	16
