Player	Team	CMP	PassATT	PassATTPCT	PassATTYDS	PassATTY/A	PassATTTD	INT	SACKS	RushATT	RushYDS	TD	FL	G
Lamar Jackson	BAL	316	474	66.7	4,172	8.8	41	4	23	139	915	4	5	17
Josh Allen	BUF	307	483	63.6	3,731	7.7	28	6	14	102	531	12	2	17
Joe Burrow	CIN	460	652	70.6	4,918	7.5	43	9	48	42	201	2	5	17
Baker Mayfield	TB	407	570	71.4	4,500	7.9	41	16	40	60	378	3	2	17
Jayden Daniels	WAS	331	480	69	3,568	7.4	25	9	47	148	891	6	0	17
Jared Goff	DET	390	539	72.4	4,629	8.6	37	12	31	35	56	0	0	17
Bo Nix	DEN	376	567	66.3	3,775	6.7	29	12	24	92	430	4	0	17
Jalen Hurts	PHI	248	361	68.7	2,903	8	18	5	38	150	630	14	5	15
Sam Darnold	MIN	361	545	66.2	4,319	7.9	35	12	48	67	212	1	4	17
Kyler Murray	ARI	372	541	68.8	3,851	7.1	21	11	30	78	572	5	4	17
Patrick Mahomes II	KC	392	581	67.5	3,928	6.8	26	11	36	58	307	2	0	16
Justin Herbert	LAC	332	504	65.9	3,870	7.7	23	3	41	69	306	2	2	17
Geno Smith	SEA	407	578	70.4	4,320	7.5	21	15	50	53	272	2	0	17
Brock Purdy	SF	300	455	65.9	3,864	8.5	20	12	31	66	323	5	3	15
Aaron Rodgers	NYJ	368	584	63	3,897	6.7	28	11	40	22	107	0	2	17
Caleb Williams	CHI	351	562	62.5	3,541	6.3	20	6	68	81	489	0	5	17
Jordan Love	GB	268	425	63.1	3,389	8	25	11	14	25	83	1	0	15
C.J. Stroud	HOU	336	532	63.2	3,727	7	20	12	52	52	233	0	4	17
Matthew Stafford	LAR	340	517	65.8	3,762	7.3	20	8	28	30	41	0	2	16
Bryce Young	CAR	234	384	60.9	2,403	6.3	15	9	29	43	249	6	2	14
Kirk Cousins	ATL	303	453	66.9	3,508	7.7	18	16	28	23	0	0	2	14
Tua Tagovailoa	MIA	291	399	72.9	2,867	7.2	19	7	21	17	49	0	2	11
Drake Maye	NE	225	338	66.6	2,276	6.7	15	10	34	54	421	2	6	13
Russell Wilson	PIT	214	336	63.7	2,482	7.4	16	5	33	43	155	2	4	11
Anthony Richardson Sr.	IND	126	264	47.7	1,814	6.9	8	12	14	86	499	6	3	11
Derek Carr	NO	189	279	67.7	2,145	7.7	15	5	8	17	71	1	0	10
Trevor Lawrence	JAC	172	284	60.6	2,045	7.2	11	7	18	26	119	3	1	10
Jameis Winston	CLE	181	296	61.1	2,121	7.2	13	12	24	25	83	1	2	11
Daniel Jones	NYG	216	341	63.3	2,070	6.1	8	7	29	67	265	2	2	10
Will Levis	TEN	190	301	63.1	2,091	6.9	13	12	41	45	183	0	6	12
Dak Prescott	DAL	185	286	64.7	1,978	6.9	11	8	21	13	54	1	1	8
Justin Fields	PIT	106	161	65.8	1,106	6.9	5	1	16	62	289	5	1	10
Cooper Rush	DAL	187	308	60.7	1,844	6	12	5	13	26	18	0	3	12
Gardner Minshew II	LV	203	306	66.3	2,013	6.6	9	10	29	19	58	0	4	10
Joe Flacco	IND	162	248	65.3	1,761	7.1	12	7	18	9	26	0	4	7
Mason Rudolph	TEN	146	228	64	1,530	6.7	9	9	11	25	106	1	1	8
Mac Jones	JAC	171	262	65.3	1,672	6.4	8	8	14	28	92	1	2	10
Aidan O'Connell	LV	154	243	63.4	1,612	6.6	8	4	10	21	30	1	2	9
Drew Lock	NYG	107	181	59.1	1,071	5.9	6	5	12	18	133	2	2	7
Deshaun Watson	CLE	137	216	63.4	1,148	5.3	5	3	33	31	148	1	3	7
Spencer Rattler	NO	130	228	57	1,317	5.8	4	5	22	18	146	0	3	7
Andy Dalton	CAR	106	160	66.3	989	6.2	7	6	7	11	34	0	0	6
Tyler Huntley	MIA	86	133	64.7	829	6.2	3	3	15	26	135	2	2	5
Malik Willis	GB	40	54	74.1	550	10.2	3	0	8	20	138	1	1	7
Michael Penix Jr.	ATL	61	105	58.1	775	7.4	3	3	4	7	11	1	0	5
Jacoby Brissett	NE	95	161	59	826	5.1	2	1	18	15	62	0	1	7
Marcus Mariota	WAS	34	44	77.3	364	8.3	4	0	3	18	92	1	0	3
Joshua Dobbs	SF	32	47	68.1	361	7.7	2	2	2	9	24	2	1	3
Tanner McKee	PHI	30	45	66.7	323	7.2	4	0	2	5	-1	0	0	2
Kenny Pickett	PHI	25	42	59.5	291	6.9	2	1	4	9	15	1	0	5
Desmond Ridder	LV	52	85	61.2	458	5.4	2	2	10	9	36	0	2	5
Dorian Thompson-Robinson	CLE	61	118	51.7	440	3.7	0	6	8	21	122	0	1	6
Jimmy Garoppolo	LAR	27	41	65.9	334	8.1	2	1	3	2	5	0	0	1
Tyrod Taylor	NYJ	17	22	77.3	119	5.4	3	0	0	3	13	0	0	2
Joe Milton III	NE	22	29	75.9	241	8.3	1	0	0	10	16	1	1	1
