Player	Team	Games	Boom	Top 12	Top 24	Top 36	Bust	Other
Saquon Barkley	PHI	16	44%	56%	81%	100%	0%	0%
Jahmyr Gibbs	DET	16	31%	56%	94%	100%	0%	0%
Bijan Robinson	ATL	16	44%	56%	88%	100%	0%	0%
Derrick Henry	BAL	16	38%	44%	81%	94%	0%	6%
De'Von Achane	MIA	16	31%	56%	63%	81%	19%	0%
Josh Jacobs	GB	16	25%	50%	88%	94%	6%	0%
Kyren Williams	LAR	16	19%	44%	75%	100%	0%	0%
Alvin Kamara	NO	14	21%	36%	93%	100%	0%	0%
James Cook	BUF	15	27%	53%	73%	87%	13%	0%
Chase Brown	CIN	16	31%	44%	75%	88%	13%	0%
James Conner	ARI	16	25%	44%	69%	81%	13%	6%
Chuba Hubbard	CAR	15	20%	40%	67%	87%	13%	0%
Joe Mixon	HOU	13	38%	46%	62%	92%	8%	0%
Aaron Jones Sr.	MIN	16	6%	38%	75%	88%	6%	6%
Bucky Irving	TB	16	19%	31%	69%	75%	19%	6%
Breece Hall	NYJ	15	20%	40%	60%	73%	13%	13%
David Montgomery	DET	14	7%	29%	86%	100%	0%	0%
Jonathan Taylor	IND	13	23%	38%	62%	85%	8%	8%
D'Andre Swift	CHI	16	6%	25%	44%	81%	13%	6%
Rachaad White	TB	15	13%	20%	53%	87%	13%	0%
Tony Pollard	TEN	15	0%	33%	53%	87%	13%	0%
Najee Harris	PIT	16	6%	13%	38%	88%	13%	0%
Rico Dowdle	DAL	15	0%	20%	40%	87%	13%	0%
J.K. Dobbins	LAC	12	17%	42%	58%	100%	0%	0%
Kenneth Walker	SEA	11	18%	36%	82%	91%	0%	9%
Zach Charbonnet	SEA	16	13%	19%	44%	56%	44%	0%
Rhamondre Stevenson	NE	15	13%	27%	53%	73%	27%	0%
Tyrone Tracy Jr.	NYG	16	13%	19%	44%	63%	31%	6%
Brian Robinson Jr.	WAS	13	0%	23%	62%	85%	15%	0%
Kareem Hunt	KC	13	8%	23%	54%	69%	31%	0%
Javonte Williams	DEN	16	6%	13%	31%	56%	38%	6%
Jerome Ford	CLE	14	7%	21%	29%	71%	29%	0%
Alexander Mattison	LV	13	0%	0%	38%	62%	31%	8%
Justice Hill	BAL	15	0%	13%	33%	53%	40%	7%
Austin Ekeler	WAS	11	0%	9%	55%	82%	18%	0%
Ameer Abdullah	LV	16	0%	13%	31%	44%	56%	0%
Jaylen Warren	PIT	14	0%	0%	21%	71%	29%	0%
Travis Etienne Jr.	JAC	14	0%	0%	36%	57%	29%	14%
Tank Bigsby	JAC	15	13%	13%	20%	47%	53%	0%
Jordan Mason	SF	12	17%	17%	25%	67%	33%	0%
Tyjae Spears	TEN	12	8%	17%	33%	58%	42%	0%
Ray Davis	BUF	16	0%	6%	25%	38%	63%	0%
Tyler Allgeier	ATL	16	0%	6%	13%	31%	69%	0%
Devin Singletary	NYG	15	0%	7%	20%	33%	67%	0%
Isaac Guerendo	SF	15	7%	13%	27%	40%	60%	0%
Antonio Gibson	NE	16	0%	0%	6%	31%	50%	19%
Jaleel McLaughlin	DEN	15	0%	0%	13%	33%	60%	7%
Ty Johnson	BUF	16	0%	0%	19%	25%	63%	13%
Cam Akers	MIN	15	0%	0%	13%	40%	60%	0%
Emanuel Wilson	GB	16	0%	0%	13%	31%	63%	6%
Zack Moss	CIN	9	0%	22%	33%	56%	33%	11%
Braelon Allen	NYJ	16	0%	6%	13%	25%	75%	0%
Samaje Perine	KC	16	0%	0%	6%	19%	75%	6%
Raheem Mostert	MIA	12	0%	0%	17%	25%	67%	8%
Roschon Johnson	CHI	12	0%	0%	8%	42%	50%	8%
Sean Tucker	TB	16	6%	6%	6%	13%	88%	0%
