Player	Team	RushATT	RushYDS	RushY/A	LGRush	20+Rush	RushTD	TGT	REC	RecYDS	Y/R	RecTD	FL	G
Jahmyr Gibbs	DET	250	1,412	5.6	70	13	16	63	52	517	9.9	4	1	17
Saquon Barkley	PHI	345	2,005	5.8	72	17	13	43	33	278	8.4	2	1	16
Bijan Robinson	ATL	304	1,456	4.8	37	5	14	72	61	431	7.1	1	0	17
Derrick Henry	BAL	325	1,921	5.9	87	19	16	22	19	193	10.2	2	1	17
De'Von Achane	MIA	203	907	4.5	61	5	6	87	78	592	7.6	6	0	17
Josh Jacobs	GB	301	1,329	4.4	38	7	15	43	36	342	9.5	1	3	17
Kyren Williams	LAR	316	1,299	4.1	30	2	14	40	34	182	5.4	2	3	16
James Cook III	BUF	207	1,009	4.9	65	6	16	38	32	258	8.1	2	0	16
Alvin Kamara	NO	228	950	4.2	24	3	6	89	68	543	8	2	0	14
Chase Brown	CIN	229	990	4.3	40	8	7	65	54	360	6.7	4	1	16
James Conner	ARI	236	1,094	4.6	53	6	8	55	47	414	8.8	1	1	16
Jonathan Taylor	IND	303	1,431	4.7	70	11	11	31	18	136	7.6	1	1	14
Bucky Irving	TB	207	1,122	5.4	56	8	8	52	47	392	8.3	0	1	17
Aaron Jones Sr.	MIN	255	1,138	4.5	41	3	5	62	51	408	8	2	3	17
Chuba Hubbard	CAR	250	1,195	4.8	38	8	10	54	43	171	4	1	3	15
Breece Hall	NYJ	209	876	4.2	42	3	5	76	57	483	8.5	3	2	16
Joe Mixon	HOU	245	1,016	4.1	59	8	11	52	36	309	8.6	1	0	14
David Montgomery	DET	185	775	4.2	21	1	12	38	36	341	9.5	0	1	14
D'Andre Swift	CHI	253	959	3.8	56	5	6	52	42	386	9.2	0	0	17
Najee Harris	PIT	263	1,043	4	36	9	6	48	36	283	7.9	0	0	17
Tony Pollard	TEN	260	1,079	4.2	41	6	5	57	41	238	5.8	0	2	16
Rachaad White	TB	144	613	4.3	56	2	3	57	51	393	7.7	6	3	16
Rico Dowdle	DAL	235	1,079	4.6	27	2	2	49	39	249	6.4	3	2	16
J.K. Dobbins	LAC	195	905	4.6	61	6	9	38	32	153	4.8	0	0	13
Zach Charbonnet	SEA	135	569	4.2	51	3	8	52	42	340	8.1	1	0	17
Tyrone Tracy Jr.	NYG	192	839	4.4	45	6	5	53	38	284	7.5	1	2	17
Kenneth Walker III	SEA	153	573	3.7	28	5	7	53	46	299	6.5	1	0	11
Rhamondre Stevenson	NE	207	801	3.9	33	2	7	41	33	168	5.1	1	3	15
Brian Robinson Jr.	WAS	187	799	4.3	40	4	8	25	20	159	8	0	2	14
Javonte Williams	DEN	139	513	3.7	20	1	4	70	52	346	6.7	0	2	17
Kareem Hunt	KC	200	728	3.6	20	1	7	32	23	176	7.7	0	0	13
Alexander Mattison	LV	132	420	3.2	24	1	4	48	36	294	8.2	1	1	14
Jerome Ford	CLE	104	565	5.4	66	5	3	43	37	225	6.1	0	0	14
Austin Ekeler	WAS	77	367	4.8	50	4	4	41	35	366	10.5	0	0	12
Travis Etienne Jr.	JAC	150	558	3.7	22	2	2	52	39	254	6.5	0	1	15
Tank Bigsby	JAC	168	766	4.6	65	4	7	12	7	54	7.7	0	1	16
Justice Hill	BAL	47	228	4.9	51	2	1	51	42	383	9.1	3	0	15
Ameer Abdullah	LV	66	311	4.7	40	1	2	47	40	261	6.5	3	1	15
Jaylen Warren	PIT	120	511	4.3	22	1	1	47	38	310	8.2	0	1	15
Ray Davis	BUF	113	442	3.9	23	2	3	19	17	189	11.1	3	0	17
Jordan Mason	SF	153	789	5.2	38	9	3	14	11	91	8.3	0	1	12
Tyjae Spears	TEN	84	312	3.7	23	1	4	35	30	224	7.5	1	0	12
Tyler Allgeier	ATL	137	644	4.7	25	4	3	13	13	88	6.8	0	0	17
Antonio Gibson	NE	120	538	4.5	45	4	1	29	23	206	9	0	0	17
Jaleel McLaughlin	DEN	113	496	4.4	21	1	1	27	24	76	3.2	2	1	16
Devin Singletary	NYG	113	437	3.9	43	2	4	24	21	119	5.7	0	2	16
Emanuel Wilson	GB	103	502	4.9	21	1	4	14	11	48	4.4	1	0	17
Isaac Guerendo	SF	84	420	5	76	2	4	16	15	152	10.1	0	1	16
Cam Akers	MIN	104	444	4.3	58	2	2	18	14	68	4.9	3	1	16
Ty Johnson	BUF	41	213	5.2	19	0	1	25	18	284	15.8	3	0	17
Braelon Allen	NYJ	92	334	3.6	20	1	2	27	19	148	7.8	1	0	17
Zack Moss	CIN	74	242	3.3	16	0	2	27	23	187	8.1	1	1	9
Samaje Perine	KC	20	92	4.6	13	0	1	35	28	322	11.5	1	0	17
Roschon Johnson	CHI	55	150	2.7	9	0	6	20	16	104	6.5	0	0	13
Miles Sanders	CAR	55	205	3.7	26	1	2	30	24	148	6.2	1	0	11
Raheem Mostert	MIA	85	278	3.3	21	1	2	23	19	161	8.5	0	2	13
Sean Tucker	TB	50	308	6.2	36	2	2	12	9	109	12.1	1	0	17
Gus Edwards	LAC	101	365	3.6	43	1	4	5	3	6	2	0	0	11
Jeremy McNichols	WAS	55	261	4.7	28	2	4	12	9	27	3	0	0	17
Nick Chubb	CLE	102	332	3.3	19	0	3	11	5	31	6.2	1	1	8
Kenny Gainwell	PHI	75	290	3.9	20	1	1	22	16	116	7.3	0	0	17
Kyle Juszczyk	SF	5	26	5.2	14	0	1	31	19	200	10.5	2	1	17
Ezekiel Elliott	DAL	74	226	3.1	11	0	3	15	12	69	5.8	0	1	15
Isiah Pacheco	KC	83	310	3.7	34	1	1	16	12	79	6.6	0	0	7
Dare Ogunbowale	HOU	30	112	3.7	35	1	0	28	19	198	10.4	1	0	17
Emari Demercado	ARI	24	223	9.3	53	2	1	20	16	104	6.5	0	0	13
Trey Sermon	IND	56	159	2.8	17	0	2	19	16	99	6.2	0	0	15
Audric Estime	DEN	76	310	4.1	21	1	2	5	5	27	5.4	0	1	13
Christian McCaffrey	SF	50	202	4	19	0	0	19	15	146	9.7	0	1	4
Trey Benson	ARI	63	291	4.6	20	1	1	6	6	59	9.8	0	0	13
Isaiah Davis	NYJ	30	174	5.8	20	1	1	12	9	75	8.3	1	0	14
Tyler Goodson	IND	32	153	4.8	33	1	1	15	11	61	5.5	1	0	16
Dameon Pierce	HOU	40	293	7.3	92	2	2	4	2	2	1	0	0	11
Chris Brooks	GB	36	183	5.1	23	1	1	13	11	69	6.3	0	0	13
Cordarrelle Patterson	PIT	32	135	4.2	14	0	0	14	12	80	6.7	1	1	13
Jamaal Williams	NO	48	164	3.4	14	0	1	11	9	57	6.3	0	0	14
D'Ernest Johnson	JAC	32	143	4.5	22	1	0	19	12	96	8	0	0	12
Michael Carter	ARI	35	131	3.7	13	0	1	11	11	57	5.2	0	0	4
Pierre Strong Jr.	CLE	26	108	4.2	19	0	0	22	14	104	7.4	0	0	13
Blake Corum	LAR	58	207	3.6	12	0	0	8	7	58	8.3	0	0	15
Hassan Haskins	LAC	34	89	2.6	12	0	2	3	3	49	16.3	1	1	15
Kimani Vidal	LAC	43	155	3.6	19	0	0	9	5	62	12.4	1	0	10
D'Onta Foreman	CLE	71	232	3.3	25	1	0	8	6	54	9	0	1	10
Khalil Herbert	CIN	36	130	3.6	14	0	1	11	10	25	2.5	0	0	12
Chris Rodriguez Jr.	WAS	35	173	4.9	25	1	2	1	1	12	12	0	0	8
Patrick Taylor Jr.	SF	39	183	4.7	29	1	1	11	3	25	8.3	0	0	9
Michael Burton	DEN	7	8	1.1	3	0	1	10	10	65	6.5	1	0	17
Zamir White	LV	65	183	2.8	17	0	1	8	6	30	5	0	2	8
Kendre Miller	NO	39	148	3.8	17	0	1	8	5	33	6.6	0	0	7
JaMycal Hasty	NE	20	69	3.5	15	0	0	12	10	59	5.9	1	0	12
Ty Chandler	MIN	56	182	3.3	25	1	0	6	6	42	7	0	0	15
Sincere McCormick	LV	39	183	4.7	29	1	0	7	6	29	4.8	0	0	4
Hunter Luepke	DAL	12	38	3.2	10	0	0	16	12	111	9.3	0	0	16
Jaylen Wright	MIA	68	249	3.7	20	1	0	6	3	8	2.7	0	1	15
Alec Ingold	MIA	10	17	1.7	6	0	1	12	11	96	8.7	0	1	15
Jordan Mims	NO	20	70	3.5	9	0	0	18	12	71	5.9	0	0	8
Carson Steele	KC	56	183	3.3	9	0	0	11	7	26	3.7	0	2	16
Kenny McIntosh	SEA	31	172	5.5	25	1	0	4	3	22	7.3	0	0	12
DeeJay Dallas	ARI	9	49	5.4	22	1	0	3	3	11	3.7	1	0	16
Craig Reynolds	DET	31	139	4.5	19	0	0	5	3	40	13.3	0	0	14
Ronnie Rivers	LAR	22	99	4.5	12	0	0	6	5	34	6.8	0	0	7
Eric Gray	NYG	14	31	2.2	6	0	0	11	10	82	8.2	0	2	16
Patrick Ricard	BAL	0	0	0	0	0	0	5	3	22	7.3	1	0	17
Will Shipley	PHI	30	82	2.7	9	0	0	4	4	35	8.8	0	0	13
C.J. Ham	MIN	2	10	5	8	0	1	6	5	35	7	0	1	17
Julius Chestnut	TEN	22	102	4.6	12	0	0	3	2	11	5.5	0	0	14
Deuce Vaughn	DAL	17	70	4.1	12	0	0	5	3	18	6	0	0	6
Tony Jones Jr.	ARI	4	55	13.8	46	1	1	0	0	0	0	0	0	1
Jeff Wilson Jr.	MIA	16	57	3.6	14	0	0	3	3	19	6.3	0	0	7
Clyde Edwards-Helaire	NO	13	46	3.5	12	0	0	5	3	24	8	0	0	2
Tyler Badie	DEN	11	86	7.8	43	1	0	3	3	-2	-0.7	0	1	3
Sione Vaki	DET	6	14	2.3	7	0	0	3	3	37	12.3	0	0	12
Raheem Blackshear	CAR	15	80	5.3	26	1	0	0	0	0	0	0	0	16
Jonathon Brooks	CAR	9	22	2.4	9	0	0	3	3	23	7.7	0	0	3
Keaton Mitchell	BAL	15	30	2	7	0	0	1	1	28	28	0	0	4
Travis Homer	CHI	6	23	3.8	6	0	0	3	3	11	3.7	0	0	9
J.J. Taylor	HOU	10	44	4.4	9	0	0	3	2	0	0	0	0	4
Kene Nwangwu	NYJ	0	0	0	0	0	0	0	0	0	0	0	0	2
Mike Boone	CAR	13	51	3.9	9	0	0	3	1	-2	-2	0	0	5
Jacob Kibodi	CLE	5	24	4.8	17	0	0	3	1	15	15	0	0	1
Jermar Jefferson	DET	6	22	3.7	8	0	0	1	1	10	10	0	0	2
Dalvin Cook	DAL	8	20	2.5	4	0	0	1	1	10	10	0	0	2
Blake Watson	DEN	4	10	2.5	7	0	0	2	1	13	13	0	0	3
Terrell Jennings	NE	13	33	2.5	7	0	0	1	0	0	0	0	0	2
Jase McClellan	ATL	13	32	2.5	8	0	0	0	0	0	0	0	0	3
Rasheen Ali	BAL	10	31	3.1	9	0	0	2	0	0	0	0	0	5
MarShawn Lloyd	GB	6	15	2.5	5	0	0	1	1	3	3	0	0	1
Jonathan Ward	PIT	5	22	4.4	7	0	0	0	0	0	0	0	0	4
Myles Gaskin	MIN	3	-1	-0.3	2	0	0	1	1	11	11	0	0	4
George Holani	SEA	3	10	3.3	8	0	0	1	1	-1	-1	0	0	3
Cody Schrader	LAR	1	3	3	3	0	0	1	1	6	6	0	0	1
Chris Collier	LV	5	12	2.4	4	0	0	2	1	-4	-4	0	0	6
Aaron Shampklin	PIT	6	17	2.8	5	0	0	0	0	0	0	0	0	3
Tyreik McAllister	LV	2	11	5.5	10	0	0	0	0	0	0	0	0	2
Reggie Gilliam	BUF	3	7	2.3	4	0	0	0	0	0	0	0	0	14
