Player	Team	TGT	TGT %	REC	RecYDS	Y/R	20+Rec	RecTD	RushATT	RushYDS	RushTD	FL	G
Brock Bowers	LV	153	25.9	112	1,194	10.7	15	5	5	13	0	0	17
Trey McBride	ARI	147	28.1	111	1,146	10.3	10	2	1	2	1	0	16
George Kittle	SF	94	18.7	78	1,106	14.2	21	8	0	0	0	0	15
Jonnu Smith	MIA	111	19.5	88	884	10	4	8	2	-1	0	1	17
Travis Kelce	KC	133	23.4	97	823	8.5	9	3	1	1	0	1	16
Mark Andrews	BAL	69	15	55	673	12.2	6	11	4	5	0	0	17
Zach Ertz	WAS	91	18.2	66	654	9.9	7	7	0	0	0	0	17
Sam LaPorta	DET	83	16.1	60	726	12.1	11	7	0	0	0	0	16
Pat Freiermuth	PIT	78	17.2	65	653	10	7	7	0	0	0	2	17
Tucker Kraft	GB	70	14.9	50	707	14.1	11	7	3	6	0	1	17
David Njoku	CLE	97	15.4	64	505	7.9	4	5	0	0	0	0	11
Hunter Henry	NE	97	19.4	66	674	10.2	4	2	0	0	0	0	16
Mike Gesicki	CIN	83	13.2	65	665	10.2	5	2	0	0	0	1	17
Cade Otton	TB	87	15.5	59	600	10.2	7	4	1	-4	0	1	14
Kyle Pitts Sr.	ATL	74	13.8	47	602	12.8	7	4	0	0	0	0	17
Isaiah Likely	BAL	58	12.8	42	477	11.4	4	6	0	0	0	1	16
Juwan Johnson	NO	66	13.1	50	548	11	8	3	0	0	0	0	17
Tyler Conklin	NYJ	72	12	51	449	8.8	7	4	1	0	0	0	16
Cole Kmet	CHI	55	10.6	47	474	10.1	7	4	0	0	0	0	17
Dalton Schultz	HOU	85	15.5	53	532	10	5	2	0	0	0	0	17
Chig Okonkwo	TEN	70	14	52	479	9.2	4	2	1	17	0	1	17
Noah Gray	KC	49	8.9	40	437	10.9	6	5	1	-4	0	0	17
Will Dissly	LAC	64	12.9	50	481	9.6	5	2	0	0	0	0	15
Austin Hooper	NE	59	11.8	45	476	10.6	5	3	0	0	0	1	17
Jake Ferguson	DAL	86	13.8	59	494	8.4	6	0	0	0	0	2	14
Noah Fant	SEA	64	11.4	48	500	10.4	3	1	0	0	0	0	14
Dallas Goedert	PHI	52	12.4	42	496	11.8	7	2	0	0	0	0	10
Taysom Hill	NO	31	6.1	23	187	8.1	2	0	39	278	6	1	8
