Player	Team	TGT	TGT %	REC	RecYDS	Y/R	20+Rec	RecTD	RushATT	RushYDS	RushTD	FL	G
Ja'Marr Chase	CIN	175	28.2	127	1,708	13.4	19	17	3	32	0	0	17
Justin Jefferson	MIN	154	29.5	103	1,533	14.9	28	10	1	3	0	0	17
Amon-Ra St. Brown	DET	141	27	115	1,263	11	14	12	2	6	0	1	17
Brian Thomas Jr.	JAC	133	25.5	87	1,282	14.7	18	10	6	48	0	0	17
Drake London	ATL	158	29.5	100	1,271	12.7	12	9	1	-3	0	0	17
Malik Nabers	NYG	170	30.4	109	1,204	11	16	7	5	2	0	0	15
Terry McLaurin	WAS	117	23.4	82	1,096	13.4	12	13	2	2	0	1	17
CeeDee Lamb	DAL	152	24.4	101	1,194	11.8	16	6	14	70	0	1	15
Jaxon Smith-Njigba	SEA	137	24.1	100	1,130	11.3	14	6	5	26	0	0	17
Garrett Wilson	NYJ	154	26.2	101	1,104	10.9	16	7	2	5	0	2	17
Davante Adams	NYJ	141	23.8	85	1,063	12.5	16	8	0	0	0	0	14
Jerry Jeudy	CLE	145	22.8	90	1,229	13.7	13	4	0	0	0	0	17
Ladd McConkey	LAC	112	22.7	82	1,149	14	15	7	0	0	0	0	16
Mike Evans	TB	110	19.6	74	1,004	13.6	15	11	0	0	0	0	14
Courtland Sutton	DEN	135	24.4	81	1,081	13.3	17	8	0	0	0	1	17
DJ Moore	CHI	140	26.3	98	966	9.9	11	6	14	75	0	1	17
Tee Higgins	CIN	109	17.5	73	911	12.5	12	10	0	0	0	1	12
Tyreek Hill	MIA	123	21.8	81	959	11.8	13	6	8	53	0	0	17
Jakobi Meyers	LV	129	21.7	87	1,027	11.8	16	4	2	23	0	0	15
A.J. Brown	PHI	97	23.3	67	1,079	16.1	17	7	0	0	0	0	13
Jordan Addison	MIN	99	19.1	63	875	13.9	13	9	3	20	1	0	15
Jameson Williams	DET	91	17.4	58	1,001	17.3	17	7	11	61	1	0	15
Nico Collins	HOU	99	18	68	1,006	14.8	14	7	0	0	0	0	12
Jauan Jennings	SF	113	22.1	77	975	12.7	12	6	0	0	0	0	15
Zay Flowers	BAL	116	25.3	74	1,059	14.3	19	4	9	56	0	0	17
Puka Nacua	LAR	106	19.7	79	990	12.5	11	3	11	46	1	0	11
DeVonta Smith	PHI	89	21.3	68	833	12.3	14	8	1	1	0	0	13
Calvin Ridley	TEN	120	24	64	1,017	15.9	19	4	8	55	1	1	17
Jayden Reed	GB	75	16.1	55	857	15.6	15	6	20	163	1	1	17
Marvin Harrison Jr.	ARI	116	21.9	62	885	14.3	14	8	0	0	0	1	17
Darnell Mooney	ATL	106	19.7	64	992	15.5	21	5	0	0	0	0	16
DK Metcalf	SEA	108	19	66	992	15	20	5	0	0	0	2	15
Xavier Worthy	KC	98	17.3	59	638	10.8	4	6	20	104	3	0	17
Keenan Allen	CHI	121	22.8	70	744	10.6	9	7	0	0	0	0	15
Josh Downs	IND	107	21.4	72	803	11.2	10	5	1	12	0	0	14
Wan'Dale Robinson	NYG	140	25.2	93	699	7.5	4	3	3	18	0	0	17
Khalil Shakir	BUF	100	20	76	821	10.8	9	4	2	4	0	0	15
Cooper Kupp	LAR	100	18.6	67	710	10.6	10	6	2	10	0	0	12
Quentin Johnston	LAC	91	18.4	55	711	12.9	12	8	3	6	0	0	15
Rashod Bateman	BAL	72	16.1	45	756	16.8	11	9	0	0	0	0	17
Michael Pittman Jr.	IND	111	22.2	69	808	11.7	12	3	0	0	0	1	16
George Pickens	PIT	103	22.3	59	900	15.3	17	3	2	-6	0	1	14
Alec Pierce	IND	69	13.8	37	824	22.3	13	7	0	0	0	0	16
Deebo Samuel Sr.	SF	81	16.1	51	670	13.1	10	3	42	136	1	1	15
Jalen Tolbert	DAL	79	12.7	49	610	12.4	8	7	0	0	0	0	17
Jaylen Waddle	MIA	83	14.9	58	744	12.8	12	2	4	12	0	0	16
DeMario Douglas	NE	87	17.4	66	621	9.4	8	3	3	16	0	0	17
DeAndre Hopkins	KC	80	14.7	56	610	10.9	6	5	0	0	0	0	16
Rome Odunze	CHI	101	19	54	734	13.6	8	3	3	15	0	1	17
