Year	RK	Player	Team	G	ATT	YDS	Y/ATT	YBCON	YBCON/ATT	YACON	YACON/ATT	BRKTKL	TK LOSS	TK LOSS YDS	LNG TD	10+ YDS	20+ YDS	30+ YDS	40+ YDS	50+ YDS	LNG	REC	TGT	RZ TGT	YACON
2025	1	Jonathan Taylor	IND	17	323	1,585	4.9	798	2.5	787	2.4	27	28	-54	83	36	9	5	4	3	83	46	55	4	103
2025	2	Christian McCaffrey	SF	17	311	1,202	3.9	728	2.3	474	1.5	10	30	-73	12	27	3	1	1	0	41	102	129	25	212
2025	3	Bijan Robinson	ATL	17	287	1,478	5.1	812	2.8	666	2.3	22	26	-64	93	36	8	4	2	2	93	79	103	12	209
2025	4	Jahmyr Gibbs	DET	17	243	1,223	5	819	3.4	404	1.7	18	27	-81	78	27	10	6	6	2	78	77	94	12	77
2025	5	James Cook III	BUF	17	309	1,621	5.2	935	3	686	2.2	21	14	-35	64	39	9	5	4	1	64	33	40	3	98
2025	6	Derrick Henry	BAL	17	307	1,595	5.2	866	2.8	729	2.4	13	22	-49	46	36	17	7	4	1	59	15	21	2	57
2025	7	De'Von Achane	MIA	16	238	1,350	5.7	631	2.7	719	3	22	23	-54	59	40	13	6	4	1	59	67	85	9	108
2025	8	Kyren Williams	LAR	17	259	1,252	4.8	737	2.8	515	2	22	12	-31	7	26	6	2	0	0	34	36	50	9	35
2025	9	Travis Etienne Jr.	JAC	17	260	1,107	4.3	562	2.2	545	2.1	10	26	-60	48	26	7	4	3	1	71	36	52	9	121
2025	10	Chase Brown	CIN	17	232	1,019	4.4	525	2.3	494	2.1	16	16	-36	12	24	6	2	0	0	37	69	88	11	124
2025	11	Javonte Williams	DAL	16	252	1,201	4.8	574	2.3	627	2.5	25	13	-27	30	26	6	3	1	1	66	35	51	12	46
2025	12	Josh Jacobs	GB	15	234	929	4	459	2	470	2	16	19	-37	40	23	3	1	1	0	40	36	44	6	101
