Player	Team	SACK	INT	FR	FF	DEF TD	SFTY	SPC TD	G
Seattle Seahawks	SEA	47	18	7	7	3	0	4	17
Houston Texans	HOU	47	19	10	12	4	0	0	17
Jacksonville Jaguars	JAC	32	22	9	9	2	1	2	17
Denver Broncos	DEN	68	10	4	7	1	0	1	17
Minnesota Vikings	MIN	49	8	13	16	2	0	0	17
Los Angeles Rams	LAR	47	16	9	12	1	0	1	17
Philadelphia Eagles	PHI	42	12	9	12	1	0	2	17
Cleveland Browns	CLE	53	11	7	14	4	0	0	17
Pittsburgh Steelers	PIT	48	15	12	16	3	1	0	17
New England Patriots	NE	35	10	9	9	2	1	3	17
Atlanta Falcons	ATL	57	16	7	12	1	0	0	17
New Orleans Saints	NO	45	10	10	12	3	0	0	17
Chicago Bears	CHI	35	23	10	11	2	0	0	17
Los Angeles Chargers	LAC	45	19	4	9	0	1	0	17
Buffalo Bills	BUF	36	13	7	12	2	0	1	17
Carolina Panthers	CAR	30	15	6	7	2	0	0	17
Indianapolis Colts	IND	39	14	7	9	1	0	0	17
Tampa Bay Buccaneers	TB	37	13	10	12	2	1	0	17
Baltimore Ravens	BAL	30	11	9	11	2	0	0	17
Detroit Lions	DET	49	13	6	15	0	1	1	17
Miami Dolphins	MIA	39	9	11	10	0	0	1	17
Kansas City Chiefs	KC	35	10	4	6	0	0	0	17
Tennessee Titans	TEN	42	6	8	7	2	1	2	17
Cincinnati Bengals	CIN	35	13	7	11	1	0	1	17
Green Bay Packers	GB	36	7	7	7	0	0	0	17
San Francisco 49ers	SF	20	6	10	10	1	0	0	17
Arizona Cardinals	ARI	30	10	9	11	2	1	0	17
New York Giants	NYG	39	9	6	10	1	0	1	17
Washington Commanders	WAS	42	8	2	9	0	1	2	17
Las Vegas Raiders	LV	37	8	8	10	0	1	0	17
Dallas Cowboys	DAL	35	6	6	10	1	1	1	17
New York Jets	NYJ	26	0	4	8	0	1	4	17
