Player	Team	Games	Boom	Top 6	Top 12	Bust	Other
Josh Allen	BUF	16	25%	38%	69%	19%	13%
Drake Maye	NE	16	6%	31%	63%	6%	31%
Matthew Stafford	LAR	16	19%	38%	56%	31%	13%
Trevor Lawrence	JAC	16	13%	25%	50%	25%	25%
Dak Prescott	DAL	16	19%	25%	63%	25%	13%
Caleb Williams	CHI	16	13%	25%	50%	31%	19%
Bo Nix	DEN	16	13%	25%	44%	31%	25%
Jalen Hurts	PHI	16	13%	31%	50%	31%	19%
Justin Herbert	LAC	16	25%	31%	31%	38%	31%
Patrick Mahomes 	IKC	14	21%	50%	57%	36%	7%
Jared Goff	DET	16	6%	25%	38%	38%	25%
Baker Mayfield	TB	16	0%	6%	44%	38%	19%
Jordan Love	GB	15	7%	20%	33%	40%	27%
Sam Darnold	SEA	16	13%	13%	31%	44%	25%
Daniel Jones	IND	13	8%	8%	38%	15%	46%
Jaxson Dart	NYG	13	8%	31%	54%	31%	15%
Jacoby Brissett	ARI	13	0%	15%	54%	23%	23%
Aaron Rodgers	PIT	15	0%	13%	20%	53%	27%
Bryce Young	CAR	15	7%	7%	27%	60%	13%
Lamar Jackson	BAL	12	8%	33%	42%	42%	17%
C.J. Stroud	HOU	13	8%	8%	23%	54%	23%
Geno Smith	LV	15	0%	13%	13%	73%	13%
Cam Ward	TEN	16	0%	6%	6%	75%	19%
Brock Purdy	SF	8	25%	38%	50%	13%	38%
Tua Tagovailoa	MIA	14	0%	7%	21%	64%	14%
Joe Flacco	CIN	12	8%	25%	25%	67%	8%
Justin Fields	NYJ	9	11%	33%	44%	44%	11%
Tyler Shough	NO	10	0%	0%	20%	40%	40%
Mac Jones	SF	11	0%	9%	27%	55%	18%
Marcus Mariota	WAS	12	0%	8%	17%	58%	25%
J.J. McCarthy	MIN	9	0%	11%	44%	44%	11%
Michael Penix Jr.	ATL	9	0%	11%	33%	67%	0%
Joe Burrow	CIN	7	14%	29%	43%	43%	14%
Jayden Daniels	WAS	7	0%	0%	43%	14%	43%
Spencer Rattler	NO	9	0%	0%	11%	78%	11%
Kirk Cousins	ATL	9	0%	11%	11%	67%	22%
Shedeur Sanders	CLE	7	14%	14%	14%	86%	0%
Kyler Murray	ARI	5	0%	0%	0%	20%	80%
Carson Wentz	MIN	5	0%	0%	20%	60%	20%
Dillon Gabriel	CLE	10	0%	0%	10%	80%	10%
Davis Mills	HOU	5	20%	20%	20%	60%	20%
Tyrod Taylor	NYJ	6	0%	0%	17%	67%	17%
Jake Browning	CIN	5	0%	0%	40%	60%	0%
Russell Wilson	NYG	6	17%	17%	17%	83%	0%
Malik Willis	GB	4	25%	25%	25%	75%	0%
Jameis Winston	NYG	3	33%	33%	33%	67%	0%
Tyler Huntley	BAL	5	0%	0%	0%	80%	20%
Philip Rivers	IND	3	0%	0%	0%	67%	33%
Brady Cook	NYJ	4	0%	0%	0%	100%	0%
Quinn Ewers	MIA	3	0%	0%	0%	100%	0%
Mason Rudolph	PIT	5	0%	0%	0%	100%	0%
Chris Oladokun	KC	2	0%	0%	0%	100%	0%
Andy Dalton	CAR	4	0%	0%	0%	100%	0%
Riley Leonard	IND	4	0%	0%	0%	100%	0%
Kenny Pickett	LV	5	0%	0%	0%	100%	0%
Josh Johnson	WAS	4	0%	0%	0%	100%	0%
Max Brosmer	MIN	6	0%	0%	0%	100%	0%
Joe Milton 	DAL	3	0%	0%	0%	100%	0%
Cooper Rush	BAL	4	0%	0%	0%	100%	0%
Trey Lance	LAC	3	0%	0%	0%	100%	0%
Teddy Bridgewater	TB	4	0%	0%	0%	100%	0%
Tyson Bagent	CHI	3	0%	0%	0%	100%	0%
Mitchell Trubisky	BUF	3	0%	0%	0%	100%	0%
Tanner McKee	PHI	3	0%	0%	0%	100%	0%
Zach Wilson	MIA	3	0%	0%	0%	100%	0%
Joshua Dobbs	NE	3	0%	0%	0%	100%	0%
Anthony Richardson Sr.	IND	2	0%	0%	0%	100%	0%
Gardner Minshew 	IKC	4	0%	0%	0%	100%	0%
Feleipe Franks	ATL	11	0%	0%	0%	100%	0%
Malik Cunningham	DET	1	0%	0%	0%	100%	0%
Drew Lock	SEA	5	0%	0%	0%	100%	0%
Logan Woodside	ARI	3	0%	0%	0%	100%	0%
Brett Rypien	MIN	1	0%	0%	0%	100%	0%
Stetson Bennett 	LAR	1	0%	0%	0%	100%	0%
Will Grier	DAL	1	0%	0%	0%	100%	0%
Kedon Slovis	ARI	2	0%	0%	0%	100%	0%
Jarrett Stidham	DEN	1	0%	0%	0%	100%	0%
Adrian Martinez	SF	1	0%	0%	0%	100%	0%
Kyle Allen	DET	4	0%	0%	0%	100%	0%
Nick Mullens	JAC	4	0%	0%	0%	100%	0%
Clayton Tune	GB	1	0%	0%	0%	100%	0%
Jimmy Garoppolo	LAR	4	0%	0%	0%	100%	0%
Jalen Milroe	SEA	4	0%	0%	0%	100%	0%
