Player	Team	CMP	PassATT	PassATTPCT	PassATTYDS	PassATTY/A	PassATTTD	INT	SACKS	RushATT	RushYDS	TD	FL	G
Josh Allen	BUF	319	460	69.3	3,668	8	25	10	40	112	579	14	3	17
Drake Maye	NE	354	492	72	4,394	8.9	31	8	47	103	450	4	3	17
Matthew Stafford	LAR	388	597	65	4,707	7.9	46	8	23	29	1	0	3	17
Trevor Lawrence	JAC	341	560	60.9	4,007	7.2	29	12	41	82	359	9	3	17
Caleb Williams	CHI	330	568	58.1	3,942	6.9	27	7	24	77	383	3	1	17
Dak Prescott	DAL	404	600	67.3	4,552	7.6	30	10	31	53	177	2	2	17
Bo Nix	DEN	388	612	63.4	3,931	6.4	25	11	22	83	356	5	2	17
Jared Goff	DET	393	578	68	4,564	7.9	34	8	38	19	45	0	5	17
Jalen Hurts	PHI	294	454	64.8	3,224	7.1	25	6	32	105	421	8	4	16
Justin Herbert	LAC	340	512	66.4	3,727	7.3	26	13	54	83	498	2	2	16
Patrick Mahomes II	KC	315	502	62.7	3,587	7.1	22	11	34	64	422	5	0	14
Baker Mayfield	TB	343	543	63.2	3,693	6.8	26	11	36	55	382	1	3	17
Sam Darnold	SEA	323	477	67.7	4,048	8.5	25	14	27	35	95	0	6	17
Jaxson Dart	NYG	216	339	63.7	2,272	6.7	15	5	35	86	487	9	2	14
Jordan Love	GB	291	439	66.3	3,381	7.7	23	6	21	47	199	0	2	15
Jacoby Brissett	ARI	315	485	64.9	3,366	6.9	23	8	43	38	168	1	4	14
Daniel Jones	IND	261	384	68	3,101	8.1	19	8	22	45	164	5	3	13
Aaron Rodgers	PIT	327	498	65.7	3,322	6.7	24	7	29	21	61	1	1	16
Bryce Young	CAR	304	478	63.6	3,011	6.3	23	11	27	54	216	2	4	16
Lamar Jackson	BAL	192	302	63.6	2,549	8.4	21	7	36	67	349	2	3	13
C.J. Stroud	HOU	273	423	64.5	3,041	7.2	19	8	23	48	209	1	0	14
Cam Ward	TEN	323	540	59.8	3,169	5.9	15	7	55	39	159	2	7	17
Geno Smith	LV	302	448	67.4	3,025	6.8	19	17	55	41	109	0	1	15
Brock Purdy	SF	197	284	69.4	2,167	7.6	20	10	11	33	147	3	2	9
Tua Tagovailoa	MIA	260	384	67.7	2,660	6.9	20	15	30	20	43	0	1	14
Tyler Shough	NO	221	327	67.6	2,384	7.3	10	6	31	45	186	3	2	11
Joe Flacco	CIN	251	416	60.3	2,479	6	15	10	18	21	35	1	3	13
Justin Fields	NYJ	128	204	62.7	1,259	6.2	7	1	27	71	383	4	3	9
Joe Burrow	CIN	173	259	66.8	1,809	7	17	5	17	14	41	0	0	8
J.J. McCarthy	MIN	140	243	57.6	1,632	6.7	11	12	27	37	181	4	2	10
Mac Jones	SF	201	289	69.6	2,151	7.4	13	6	16	36	60	0	2	11
Marcus Mariota	WAS	139	227	61.2	1,695	7.5	10	7	16	50	297	1	3	12
Michael Penix Jr.	ATL	166	276	60.1	1,982	7.2	9	3	13	21	70	1	2	9
Jayden Daniels	WAS	114	188	60.6	1,262	6.7	8	3	18	58	278	2	2	7
Kirk Cousins	ATL	166	269	61.7	1,721	6.4	10	5	13	14	7	1	1	10
Spencer Rattler	NO	174	257	67.7	1,586	6.2	8	5	18	31	167	0	2	9
Shedeur Sanders	CLE	120	212	56.6	1,400	6.6	7	10	23	21	169	1	1	8
Kyler Murray	ARI	110	161	68.3	962	6	6	3	16	29	173	1	1	5
Carson Wentz	MIN	110	169	65.1	1,216	7.2	6	5	19	11	57	0	0	5
Dillon Gabriel	CLE	110	185	59.5	937	5.1	7	2	19	14	86	0	0	10
Davis Mills	HOU	91	159	57.2	915	5.8	5	1	8	13	60	1	0	6
Tyrod Taylor	NYJ	80	134	59.7	779	5.8	5	5	14	27	143	1	1	6
Jake Browning	CIN	81	125	64.8	771	6.2	6	8	9	9	39	1	0	5
Russell Wilson	NYG	69	119	58	831	7	3	3	10	18	106	0	0	6
Malik Willis	GB	30	35	85.7	422	12.1	3	0	3	22	123	2	1	4
Jameis Winston	NYG	37	66	56.1	567	8.6	2	2	3	7	23	1	1	3
Tyler Huntley	BAL	52	67	77.6	426	6.4	2	0	8	24	151	0	0	5
Quinn Ewers	MIA	55	83	66.3	622	7.5	3	3	8	8	19	0	0	4
Brady Cook	NYJ	88	153	57.5	739	4.8	2	7	19	13	49	0	1	5
Philip Rivers	IND	58	92	63	544	5.9	4	3	5	2	-1	0	0	3
Riley Leonard	IND	39	67	58.2	415	6.2	2	3	2	6	27	2	2	5
Mitchell Trubisky	BUF	25	35	71.4	313	8.9	4	0	0	9	6	0	0	4
Josh Johnson	WAS	34	54	63	372	6.9	1	2	2	12	55	1	1	5
Mason Rudolph	PIT	38	52	73.1	310	6	2	2	2	7	6	0	1	5
Tanner McKee	PHI	24	43	55.8	274	6.4	1	1	3	8	8	0	0	4
Trey Lance	LAC	27	57	47.4	226	4	0	1	6	17	85	0	1	4
Joe Milton III	DAL	15	24	62.5	183	7.6	1	2	0	5	50	0	1	4
Chris Oladokun	KC	35	55	63.6	235	4.3	1	0	8	5	18	0	2	3
Andy Dalton	CAR	25	37	67.6	293	7.9	1	1	8	5	-2	0	2	4
Kenny Pickett	LV	28	45	62.2	188	4.2	1	2	8	5	22	0	1	6
Max Brosmer	MIN	47	71	66.2	328	4.6	0	4	14	7	11	0	1	7
Cooper Rush	BAL	34	52	65.4	303	5.8	0	4	1	4	-4	0	1	4
Aidan O'Connell	LV	10	22	45.5	102	4.6	0	0	1	1	7	0	0	1
Shane Buechele	KC	7	14	50	88	6.3	0	0	5	1	4	0	0	1
Clayton Tune	GB	7	15	46.7	42	2.8	0	1	5	5	23	0	0	2
Teddy Bridgewater	TB	8	15	53.3	62	4.1	0	0	2	3	4	0	0	4
Tyson Bagent	CHI	3	4	75	47	11.8	0	0	0	2	7	0	0	3
Anthony Richardson Sr.	IND	1	2	50	9	4.5	0	0	0	4	-1	0	0	2
