Player	Team	Games	Boom	Top 6	Top 12	Bust	Other
Trey McBride	ARI	16	44%	56%	81%	6%	13%
Kyle Pitts Sr.	ATL	16	6%	19%	50%	50%	0%
Travis Kelce	KC	16	13%	19%	50%	38%	19%
Jake Ferguson	DAL	16	19%	31%	44%	44%	19%
Harold Fannin Jr.	CLE	16	6%	19%	50%	38%	13%
Dallas Goedert	PHI	15	13%	33%	47%	33%	20%
Tyler Warren	IND	16	0%	25%	50%	31%	19%
Brock Bowers	LV	12	17%	17%	58%	8%	33%
Juwan Johnson	NO	16	0%	19%	44%	31%	25%
Hunter Henry	NE	16	13%	13%	38%	50%	13%
Dalton Schultz	HOU	16	6%	19%	38%	44%	19%
George Kittle	SF	10	40%	40%	70%	20%	10%
AJ Barner	SEA	16	6%	13%	38%	50%	13%
Colston Loveland	CHI	15	13%	13%	27%	60%	13%
Theo Johnson	NYG	15	7%	7%	27%	53%	20%
Mark Andrews	BAL	16	6%	13%	19%	63%	19%
Oronde Gadsden	LAC	14	7%	14%	36%	50%	14%
Zach Ertz	WAS	13	8%	23%	38%	54%	15%
Chig Okonkwo	TEN	16	0%	6%	19%	63%	25%
Dalton Kincaid	BUF	11	9%	27%	45%	45%	9%
Tucker Kraft	GB	8	25%	38%	50%	25%	25%
T.J. Hockenson	MIN	15	0%	7%	13%	53%	33%
Colby Parkinson	LAR	14	7%	7%	36%	57%	7%
Sam LaPorta	DET	9	22%	33%	44%	44%	11%
Pat Freiermuth	PIT	16	6%	6%	13%	75%	13%
Brenton Strange	JAC	11	0%	0%	36%	45%	18%
Cade Otton	TB	15	0%	7%	20%	73%	7%
Evan Engram	DEN	15	0%	0%	13%	73%	13%
Jake Tonges	SF	16	0%	13%	25%	69%	6%
Dawson Knox	BUF	16	0%	13%	13%	81%	6%
Gunnar Helm	TEN	16	0%	0%	6%	81%	13%
Mason Taylor	NYJ	13	0%	8%	23%	69%	8%
Darren Waller	MIA	9	11%	33%	33%	56%	11%
David Njoku	CLE	12	0%	8%	17%	67%	17%
Jonnu Smith	PIT	16	0%	0%	13%	81%	6%
Noah Fant	CIN	14	0%	0%	14%	79%	7%
Darnell Washington	PIT	16	0%	0%	0%	81%	19%
Cole Kmet	CHI	15	0%	0%	7%	87%	7%
Mike Gesicki	CIN	12	8%	8%	17%	83%	0%
Michael Mayer	LV	12	0%	17%	17%	83%	0%
Davis Allen	LAR	16	0%	0%	0%	94%	6%
Austin Hooper	NE	15	0%	0%	0%	87%	13%
Greg Dulcich	MIA	9	0%	11%	11%	78%	11%
Isaiah Likely	BAL	13	0%	0%	15%	77%	8%
Ja'Tavion Sanders	CAR	13	0%	0%	8%	85%	8%
Elijah Higgins	ARI	16	0%	6%	6%	94%	0%
Terrance Ferguson	LAR	13	0%	0%	15%	77%	8%
Jackson Hawes	BUF	16	0%	0%	0%	94%	6%
Tommy Tremble	CAR	16	0%	0%	6%	94%	0%
Tyler Higbee	LAR	9	0%	0%	11%	78%	11%
Josh Oliver	MIN	14	0%	7%	14%	86%	0%
Luke Musgrave	GB	16	0%	0%	0%	94%	6%
Tanner Hudson	CIN	12	0%	0%	0%	92%	8%
Daniel Bellinger	NYG	15	0%	7%	7%	87%	7%
Jeremy Ruckert	NYJ	16	0%	0%	0%	100%	0%
Mitchell Evans	CAR	16	0%	0%	6%	94%	0%
Adam Trautman	DEN	16	0%	0%	0%	94%	6%
Elijah Arroyo	SEA	13	0%	0%	0%	92%	8%
Brock Wright	DET	11	0%	0%	9%	82%	9%
Charlie Kolar	BAL	16	0%	0%	0%	94%	6%
Taysom Hill	NO	12	0%	0%	8%	92%	0%
Noah Gray	KC	15	0%	0%	0%	100%	0%
Hunter Long	JAC	9	0%	0%	11%	89%	0%
Luke Farrell	SF	16	0%	0%	0%	88%	13%
Julian Hill	MIA	13	0%	0%	0%	100%	0%
Drew Sample	CIN	16	0%	0%	0%	94%	6%
Ben Sinnott	WAS	15	0%	0%	0%	100%	0%
Mo Alie-Cox	IND	16	0%	0%	0%	94%	6%
John FitzPatrick	GB	15	0%	0%	0%	93%	7%
Luke Schoonmaker	DAL	16	0%	0%	0%	100%	0%
Ian Thomas	LV	14	0%	0%	0%	100%	0%
Connor Heyward	PIT	15	0%	0%	0%	100%	0%
Will Dissly	LAC	8	0%	0%	0%	100%	0%
Brevyn Spann-Ford	DAL	16	0%	0%	0%	100%	0%
Tanner Conner	NYG	9	0%	0%	0%	100%	0%
John Bates	WAS	14	0%	0%	0%	100%	0%
Cade Stover	HOU	8	0%	0%	0%	100%	0%
Johnny Mundt	JAC	15	0%	0%	0%	100%	0%
Nate Adkins	DEN	8	0%	0%	0%	88%	13%
Jack Stoll	NO	15	0%	0%	0%	93%	7%
Andrew Beck	NYJ	16	0%	0%	0%	100%	0%
Tyler Conklin	LAC	9	0%	0%	0%	100%	0%
Josh Whyle	GB	7	0%	0%	0%	100%	0%
Foster Moreau	NO	11	0%	0%	0%	100%	0%
Charlie Woerner	ATL	16	0%	0%	0%	100%	0%
Drew Ogletree	IND	15	0%	0%	0%	93%	7%
Grant Calcaterra	PHI	14	0%	0%	0%	100%	0%
Stone Smartt	NYJ	8	0%	0%	0%	100%	0%
Anthony Firkser	DET	6	0%	0%	0%	100%	0%
David Martin-Robinson	TEN	14	0%	0%	0%	100%	0%
Quintin Morris	JAC	12	0%	0%	0%	100%	0%
Albert Okwuegbunam Jr.	LV	1	0%	0%	0%	100%	100%
Devin Culp	TB	11	0%	0%	0%	100%	0%
Brenden Bates	CLE	8	0%	0%	0%	100%	0%
Durham Smythe	CHI	16	0%	0%	0%	100%	0%
Eric Saubert	SEA	10	0%	0%	0%	100%	0%
James Mitchell	CAR	4	0%	0%	0%	100%	0%
Shane Zylstra	DET	4	0%	0%	0%	100%	0%
Tip Reiman	ARI	5	0%	0%	0%	100%	0%
Kylen Granson	PHI	16	0%	0%	0%	100%	0%
Tucker Fisk	LAC	10	0%	0%	0%	100%	0%
Colson Yankoff	WAS	13	0%	0%	0%	100%	0%
Zaire Mitchell-Paden	NO	8	0%	0%	0%	100%	0%
Lucas Krull	DEN	4	0%	0%	0%	100%	0%
Ben Sims	MIN	8	0%	0%	0%	100%	0%
Sal Cannella	CLE	1	0%	0%	0%	100%	0%
Moliki Matavao	NO	5	0%	0%	0%	100%	0%
Harrison Bryant	HOU	11	0%	0%	0%	100%	0%
Cam Grandy	CIN	5	0%	0%	0%	100%	0%
Ross Dwelley	DET	10	0%	0%	0%	100%	0%
Will Mallory	IND	2	0%	0%	0%	100%	0%
Blake Whiteheart	CLE	15	0%	0%	0%	100%	0%
Payne Durham	TB	16	0%	0%	0%	100%	0%
Pharaoh Brown	ARI	6	0%	0%	0%	100%	0%
Chris Manhertz	NYG	16	0%	0%	0%	100%	0%
Josiah Deguara	ARI	11	0%	0%	0%	100%	0%
Ben Yurosek	MIN	11	0%	0%	0%	100%	0%
Jelani Woods	NYJ	5	0%	0%	0%	100%	0%
Keleki Latu	BUF	4	0%	0%	0%	100%	0%
Jared Wiley	KC	3	0%	0%	0%	100%	0%
Carter Runyon	LV	10	0%	0%	0%	100%	0%
Robert Tonyan	KC	15	0%	0%	0%	100%	0%
Teagan Quitoriano	ATL	14	0%	0%	0%	100%	0%
Ko Kieft	TB	3	0%	0%	0%	100%	0%
Jack Westover	NE	16	0%	0%	0%	100%	0%
Travis Vokolek	ARI	3	0%	0%	0%	100%	0%
Patrick Murtagh	DEN	1	0%	0%	0%	100%	0%
Brady Russell	SEA	15	0%	0%	0%	100%	0%
Robbie Ouzts	SEA	11	0%	0%	0%	100%	0%
Brayden Willis	SF	6	0%	0%	0%	100%	0%
James Winchester	KC	3	0%	0%	0%	100%	0%
Cameron Latu	PHI	14	0%	0%	0%	100%	0%
Treyton Welch	NO	2	0%	0%	0%	100%	0%
