Player	Team	TGT	TGT %	REC	RecYDS	Y/R	20+Rec	RecTD	RushATT	RushYDS	RushTD	FL	G
Trey McBride	ARI	169	27.5	126	1,239	9.8	12	11	0	0	0	0	17
Kyle Pitts Sr.	ATL	118	22.8	88	928	10.5	12	5	0	0	0	0	17
Travis Kelce	KC	108	19.7	76	851	11.2	9	5	1	1	0	0	17
Tyler Warren	IND	112	20.9	76	817	10.8	10	4	6	8	1	0	17
Jake Ferguson	DAL	102	17.1	82	600	7.3	2	8	1	1	0	2	17
Harold Fannin Jr.	CLE	107	20.8	72	731	10.2	8	6	7	13	1	1	16
Dallas Goedert	PHI	82	17.6	60	591	9.9	7	11	0	0	0	0	15
Juwan Johnson	NO	102	18	77	889	11.5	11	3	0	0	0	2	17
Hunter Henry	NE	87	17.8	60	768	12.8	11	7	0	0	0	0	17
Dalton Schultz	HOU	106	18.9	82	777	9.5	5	3	0	0	0	0	17
Brock Bowers	LV	86	17.2	64	680	10.6	8	7	2	2	0	0	12
Colston Loveland	CHI	82	15.5	58	713	12.3	10	6	1	-2	0	0	16
George Kittle	SF	69	12.5	57	628	11	9	7	1	-3	0	0	11
AJ Barner	SEA	68	15.1	52	519	10	3	6	10	14	1	0	17
Oronde Gadsden II	LAC	69	12.8	49	664	13.6	11	3	0	0	0	1	15
Mark Andrews	BAL	70	16.9	48	422	8.8	3	5	10	48	1	0	17
Colby Parkinson	LAR	56	9.6	43	408	9.5	4	8	0	0	0	1	15
Theo Johnson	NYG	74	14.8	45	528	11.7	8	5	0	0	0	0	15
Zach Ertz	WAS	72	16.8	50	504	10.1	5	4	0	0	0	0	13
Dalton Kincaid	BUF	49	10.2	39	571	14.6	13	5	0	0	0	0	12
Chig Okonkwo	TEN	79	14.8	56	560	10	6	2	0	0	0	0	17
Cade Otton	TB	81	14.9	59	572	9.7	7	1	0	0	0	0	16
Brenton Strange	JAC	60	10.9	46	540	11.7	9	3	0	0	0	0	12
Tucker Kraft	GB	44	9.7	32	489	15.3	6	6	1	3	0	0	8
Pat Freiermuth	PIT	54	10.8	41	486	11.9	6	4	0	0	0	0	17
T.J. Hockenson	MIN	66	14.1	51	438	8.6	3	3	1	0	0	0	15
Sam LaPorta	DET	49	8.8	40	489	12.2	6	3	0	0	0	0	9
Dawson Knox	BUF	49	9.9	36	417	11.6	5	4	0	0	0	0	17
Evan Engram	DEN	76	13	50	461	9.2	4	1	1	7	0	0	16
Jake Tonges	SF	46	8.3	34	293	8.6	2	5	0	0	0	0	16
Gunnar Helm	TEN	55	10.5	44	357	8.1	2	2	0	0	0	0	16
Mason Taylor	NYJ	65	13.7	44	369	8.4	2	1	0	0	0	0	13
Darren Waller	MIA	34	7.6	24	283	11.8	5	6	1	4	0	0	9
David Njoku	CLE	48	9.4	33	293	8.9	2	4	0	0	0	0	12
Jonnu Smith	PIT	54	10.8	38	222	5.8	1	2	9	70	1	0	17
Cole Kmet	CHI	48	9.4	30	347	11.6	5	2	0	0	0	0	16
Noah Fant	CIN	41	6.9	34	288	8.5	3	3	0	0	0	3	15
Michael Mayer	LV	50	10	35	328	9.4	3	1	0	0	0	0	13
Darnell Washington	PIT	43	8.6	31	364	11.7	3	1	0	0	0	1	16
Tyler Higbee	LAR	36	6.1	25	281	11.2	6	3	0	0	0	0	10
Mike Gesicki	CIN	42	7	28	307	11	2	2	0	0	0	0	13
Tommy Tremble	CAR	37	7.5	27	249	9.2	1	2	0	0	0	0	17
Greg Dulcich	MIA	33	7.3	26	335	12.9	7	1	1	-7	0	1	10
Davis Allen	LAR	33	5.7	24	208	8.7	2	3	0	0	0	0	17
Isaiah Likely	BAL	36	8.8	27	307	11.4	4	1	0	0	0	1	14
Daniel Bellinger	NYG	26	5.2	19	286	15.1	4	2	0	0	0	0	16
Austin Hooper	NE	26	5.2	21	263	12.5	6	2	0	0	0	0	16
Elijah Higgins	ARI	37	6.1	30	301	10	4	0	0	0	0	1	17
Josh Oliver	MIN	19	3.8	15	160	10.7	2	4	0	0	0	0	15
Ja'Tavion Sanders	CAR	34	6.9	29	190	6.6	0	1	0	0	0	0	13
Jackson Hawes	BUF	19	3.8	16	187	11.7	2	3	0	0	0	0	17
Terrance Ferguson	LAR	25	4.3	11	231	21	7	3	1	0	0	0	13
Luke Musgrave	GB	31	6.7	24	252	10.5	5	0	0	0	0	0	17
Mitchell Evans	CAR	25	5	19	171	9	2	2	1	1	0	0	17
Tanner Hudson	CIN	24	3.9	19	168	8.8	1	2	0	0	0	0	13
Jeremy Ruckert	NYJ	29	5.9	23	179	7.8	1	1	0	0	0	0	17
Adam Trautman	DEN	23	3.9	20	195	9.8	3	1	0	0	0	0	17
Taysom Hill	NO	16	3	11	91	8.3	0	0	52	114	1	1	13
Noah Gray	KC	37	6.7	21	178	8.5	1	0	0	0	0	0	16
Elijah Arroyo	SEA	26	5.5	15	179	11.9	4	1	0	0	0	1	13
Brock Wright	DET	22	3.9	14	108	7.7	1	2	0	0	0	0	11
Charlie Kolar	BAL	15	3.3	10	142	14.2	2	2	0	0	0	0	17
Hunter Long	JAC	17	2.9	12	85	7.1	0	2	0	0	0	0	9
Drew Sample	CIN	20	3.3	15	106	7.1	1	1	1	3	0	0	17
Julian Hill	MIA	20	4.2	15	140	9.3	1	0	0	0	0	0	14
Mo Alie-Cox	IND	20	4	13	117	9	1	1	0	0	0	0	17
Luke Farrell	SF	14	2.7	11	85	7.7	0	2	0	0	0	1	17
Ben Sinnott	WAS	13	2.9	11	114	10.4	2	1	0	0	0	0	16
Connor Heyward	PIT	4	0.8	3	21	7	0	1	15	43	2	0	16
John Bates	WAS	16	3.7	11	103	9.4	1	1	0	0	0	0	15
Luke Schoonmaker	DAL	23	3.8	14	132	9.4	1	0	0	0	0	0	17
John FitzPatrick	GB	15	3.1	12	72	6	0	1	0	0	0	0	15
Ian Thomas	LV	13	2.6	13	114	8.8	1	0	0	0	0	0	15
Brevyn Spann-Ford	DAL	13	2.4	9	90	10	2	1	0	0	0	0	17
Andrew Beck	NYJ	9	1.8	6	45	7.5	0	2	1	5	0	0	17
Grant Calcaterra	PHI	13	2.6	9	76	8.4	0	1	0	0	0	0	15
Will Dissly	LAC	16	3.1	11	97	8.8	0	0	0	0	0	0	9
Johnny Mundt	JAC	19	3.6	9	111	12.3	1	0	0	0	0	0	16
Cade Stover	HOU	16	2.9	12	76	6.3	0	0	4	3	0	0	9
Tanner Conner	MIA	15	3.2	9	91	10.1	1	0	0	0	0	0	9
Quintin Morris	JAC	9	1.7	6	55	9.2	0	1	0	0	0	0	13
Tyler Conklin	LAC	10	2	7	101	14.4	2	0	1	2	0	0	10
Nate Adkins	DEN	11	1.9	6	48	8	0	1	0	0	0	0	9
