Team	G	Cmp	Att	Yds	IAY	IAY/PA	CAY	CAY/Cmp	CAY/PA	YAC	YAC/Cmp	Bats	ThAwy	Spikes	Drops	Drop%	BadTh	Bad%	OnTgt	OnTgt%	Sk	PktTime	Bltz	Hrry	Hits	Prss	Prss%	Scrm	Yds/Scr	RPOPlays	RPOYds	RPOPassAtt	RPOPassYds	RPORushAtt	PlayActionRushYds	RPOPassAtt	PlayActionPassYds
Arizona Cardinals	17	427	649	3955	4664	7.2	2243	5.3	3.5	2111	4.9	11	29	1	16	2.60%	107	17.30%	456	73.70%	59	2.4	139	52	72	183	24.50%	39	7.7	100	587	51	352	49	235	141	945
Atlanta Falcons	17	332	545	3523	4189	7.7	1832	5.5	3.4	1871	5.6	6	26	3	22	4.30%	104	20.20%	374	72.50%	26	2.4	140	36	49	111	18.90%	15	5.7	21	155	21	155	0	0	107	944
Baltimore Ravens	17	278	422	2985	3433	8.1	1917	6.9	4.5	1361	4.9	11	12	3	19	4.70%	69	17.00%	305	74.90%	45	2.4	156	31	39	115	22.80%	38	8.2	81	588	33	339	48	249	107	1019
Buffalo Bills	17	344	495	3683	3606	7.3	1883	5.5	3.8	2098	6.1	7	13	1	21	4.40%	62	12.90%	386	80.20%	40	2.5	133	30	29	99	16.90%	50	8.7	79	517	40	342	39	175	146	1107
Carolina Panthers	17	329	515	3048	3422	6.6	1669	5.1	3.2	1635	5	9	33	2	21	4.40%	78	16.30%	375	78.10%	35	2.4	138	55	50	140	24.00%	34	6.5	56	441	46	388	10	53	111	656
Chicago Bears	17	334	574	3826	4854	8.5	2117	6.3	3.7	1874	5.6	18	40	2	29	5.50%	110	20.70%	371	69.70%	24	2.5	176	94	42	160	25.00%	42	8.7	57	364	29	239	28	125	190	1192
Cincinnati Bengals	17	412	640	4005	4689	7.3	2290	5.6	3.6	1954	4.7	12	31	3	21	3.50%	83	13.70%	448	73.90%	36	2.2	125	44	64	144	20.80%	16	5.4	112	627	70	434	42	193	63	396
Cleveland Browns	17	323	558	2807	3779	6.8	1420	4.4	2.5	1732	5.4	13	34	2	25	4.80%	96	18.40%	369	70.70%	51	2.5	150	59	80	190	29.70%	31	8.6	78	466	53	362	25	104	107	583
Dallas Cowboys	17	419	624	4527	5030	8.1	2634	6.3	4.2	2101	5	19	15	3	25	4.10%	79	13.00%	451	74.40%	31	2.4	169	59	57	147	21.50%	28	7	104	800	60	533	44	267	127	1049
Denver Broncos	17	388	613	3807	4500	7.3	1838	4.7	3	2093	5.4	13	26	1	43	7.30%	94	16.00%	453	77.30%	23	2.4	115	61	45	129	19.20%	35	8.8	114	625	81	487	33	138	122	761
Detroit Lions	17	394	582	4303	3501	6	2143	5.4	3.7	2424	6.2	15	31	2	26	4.70%	87	15.80%	430	78.30%	39	2.3	155	38	77	154	24.60%	5	9.6	30	93	14	68	16	25	159	1417
Green Bay Packers	17	328	489	3617	4246	8.7	2180	6.6	4.5	1665	5.1	7	27	1	20	4.30%	64	13.90%	361	78.30%	29	2.4	152	37	54	120	21.70%	34	7.5	111	689	43	396	68	293	141	970
Houston Texans	17	364	582	3707	4641	8	2322	6.4	4	1634	4.5	13	28	3	19	3.40%	99	18.00%	405	73.50%	31	2.3	183	51	47	129	19.90%	34	7.8	49	339	24	181	25	158	135	977
Indianapolis Colts	17	360	547	3873	4346	7.9	2283	6.3	4.2	1802	5	12	15	2	19	3.60%	67	12.60%	399	75.30%	29	2.3	157	31	56	116	19.30%	25	6.6	108	760	76	629	32	131	134	1050
Jacksonville Jaguars	17	344	563	3779	4894	8.7	2380	6.9	4.2	1646	4.8	20	14	3	45	8.20%	78	14.30%	403	73.80%	41	2.4	159	60	40	141	21.80%	42	7.4	52	219	25	130	27	89	138	951
Kansas City Chiefs	17	363	584	3639	4448	7.6	1837	5.1	3.1	2110	5.8	17	31	3	30	5.50%	99	18.00%	406	73.80%	47	2.2	114	41	80	168	24.40%	58	7.8	142	1002	115	856	27	146	75	396
Las Vegas Raiders	17	340	515	2851	3159	6.1	1509	4.4	2.9	1806	5.3	14	17	3	20	4.00%	62	12.50%	381	77.00%	64	2.4	155	23	49	136	22.60%	22	6.3	76	470	44	290	32	180	117	790
Los Angeles Chargers	17	367	569	3608	4472	7.9	2191	6	3.9	1762	4.8	12	20	4	26	4.80%	87	16.00%	408	74.90%	60	2.4	171	58	77	195	28.50%	55	9.2	90	593	55	389	35	204	116	917
Los Angeles Rams	17	388	598	4557	5358	9	2857	7.4	4.8	1850	4.8	5	14	3	28	4.80%	105	18.10%	427	73.50%	23	2.4	159	41	52	116	18.50%	7	3.1	32	198	16	102	16	96	212	1744
Miami Dolphins	17	322	479	3068	3309	6.9	1515	4.7	3.2	1807	5.6	7	14	2	18	3.90%	74	16.00%	348	75.20%	38	2.3	110	52	26	116	21.80%	15	4.5	93	497	57	338	36	159	119	86
