Team	G	Tgt	Rec	Yds	TD	1D	YBC	YBC/R	YAC	YAC/R	ADOT	BrkTkl	Rec/Br	Drop	Drop%
Arizona Cardinals	17	649	427	4354	29	216	2243	5.3	2111	4.9	6.9	39	10.9	16	2.5
Atlanta Falcons	17	545	332	3703	19	185	1832	5.5	1871	5.6	7.6	18	18.4	22	4
Baltimore Ravens	17	422	278	3278	23	141	1917	6.9	1361	4.9	8	19	14.6	19	4.5
Buffalo Bills	17	495	344	3981	29	196	1883	5.5	2098	6.1	7.1	21	16.4	21	4.2
Carolina Panthers	17	515	329	3304	24	170	1674	5.1	1630	5	6.3	14	23.5	21	4.1
Chicago Bears	17	574	334	3991	28	190	2117	6.3	1874	5.6	7.8	17	19.6	29	5.1
Cincinnati Bengals	17	640	412	4244	36	213	2290	5.6	1954	4.7	7.1	25	16.5	21	3.3
Cleveland Browns	17	558	323	3152	16	134	1420	4.4	1732	5.4	6.4	16	20.2	25	4.5
Dallas Cowboys	17	624	419	4735	31	229	2636	6.3	2099	5	7.8	26	16.1	25	4
Denver Broncos	17	613	388	3931	25	196	1838	4.7	2093	5.4	7.2	22	17.6	43	7
Detroit Lions	17	582	394	4567	35	217	2145	5.4	2422	6.1	5.9	21	18.8	26	4.5
Green Bay Packers	17	489	328	3845	26	180	2180	6.6	1665	5.1	8.3	22	14.9	20	4.1
Houston Texans	17	582	364	3956	24	184	2322	6.4	1634	4.5	7.7	17	21.4	19	3.3
Indianapolis Colts	17	547	360	4085	25	199	2283	6.3	1802	5	7.8	21	17.1	19	3.5
Jacksonville Jaguars	17	563	344	4026	29	196	2380	6.9	1646	4.8	8.7	20	17.2	45	8
Kansas City Chiefs	17	584	363	3947	23	189	1839	5.1	2108	5.8	7.3	16	22.7	30	5.1
Las Vegas Raiders	17	515	340	3315	20	161	1509	4.4	1806	5.3	6.1	22	15.5	20	3.9
Los Angeles Chargers	17	569	367	3953	26	185	2191	6	1762	4.8	7.6	24	15.3	26	4.6
Los Angeles Rams	17	598	388	4707	46	236	2857	7.4	1850	4.8	8.7	20	19.4	28	4.7
Miami Dolphins	17	479	322	3322	23	174	1515	4.7	1807	5.6	6.8	25	12.9	18	3.8
Minnesota Vikings	17	484	298	3208	18	157	1678	5.6	1530	5.1	7.8	12	24.8	19	3.9
New England Patriots	17	502	361	4459	31	206	2665	7.4	1794	5	8.9	8	45.1	13	2.6
New Orleans Saints	17	591	397	4027	19	183	2331	5.9	1696	4.3	7.9	22	18	24	4.1
New York Giants	17	526	323	3703	21	160	1936	6	1767	5.5	8.1	25	12.9	19	3.6
New York Jets	17	494	298	2784	15	136	1450	4.9	1334	4.5	6.5	13	22.9	30	6.1
Philadelphia Eagles	17	497	318	3498	26	161	2133	6.7	1365	4.3	7.9	14	22.7	13	2.6
Pittsburgh Steelers	17	550	365	3632	26	160	1259	3.4	2373	6.5	5.7	35	10.4	17	3.1
San Francisco 49ers	17	574	398	4318	33	237	2512	6.3	1806	4.5	7.1	24	16.6	19	3.3
Seattle Seahawks	17	481	325	4063	25	179	2269	7	1794	5.5	7.6	16	20.3	15	3.1
Tampa Bay Buccaneers	17	558	351	3755	26	174	1780	5.1	1975	5.6	7.7	25	14	20	3.6
Tennessee Titans	17	570	340	3241	15	156	1614	4.7	1627	4.8	6.8	19	17.9	24	4.2
Washington Commanders	17	469	287	3329	19	159	1900	6.6	1429	5	7.9	18	15.9	18	3.8
