Player	Team	Games	Boom	Top 12	Top 24	Top 36	Top 48	Bust	Other
Puka Nacua	LAR	15	40%	60%	87%	93%	93%	7%	0%
Jaxon Smith-Njigba	SEA	16	38%	69%	88%	94%	94%	6%	0%
Amon-Ra St. Brown	DET	16	25%	44%	75%	75%	88%	13%	0%
George Pickens	DAL	16	31%	31%	69%	81%	88%	13%	0%
Ja'Marr Chase	CIN	15	33%	53%	67%	73%	80%	13%	7%
Chris Olave	NO	16	19%	31%	63%	88%	94%	6%	0%
Nico Collins	HOU	15	13%	33%	60%	67%	87%	13%	0%
Davante Adams	LAR	14	7%	43%	64%	71%	86%	0%	14%
A.J. Brown	PHI	15	20%	27%	47%	67%	73%	20%	7%
Courtland Sutton	DEN	16	13%	25%	50%	69%	81%	19%	0%
Wan'Dale Robinson	NYG	16	13%	25%	44%	63%	75%	19%	6%
Zay Flowers	BAL	16	6%	19%	44%	81%	88%	13%	0%
Jameson Williams	DET	16	19%	31%	50%	56%	56%	44%	0%
Stefon Diggs	NE	16	6%	25%	44%	63%	63%	31%	6%
Tetairoa McMillan	CAR	16	6%	13%	31%	69%	81%	19%	0%
Michael Wilson	ARI	16	13%	25%	31%	38%	56%	31%	13%
CeeDee Lamb	DAL	13	8%	23%	69%	85%	92%	8%	0%
Michael Pittman Jr.	IND	16	6%	31%	56%	56%	63%	31%	6%
Jaylen Waddle	MIA	16	0%	19%	50%	56%	69%	19%	13%
Emeka Egbuka	TB	16	19%	25%	31%	44%	63%	38%	0%
DeVonta Smith	PHI	16	6%	19%	44%	44%	63%	25%	13%
Tee Higgins	CIN	14	14%	21%	43%	64%	79%	21%	0%
DK Metcalf	PIT	15	7%	20%	40%	60%	80%	20%	0%
Deebo Samuel Sr.	WAS	15	7%	27%	33%	53%	60%	33%	7%
Drake London	ATL	11	36%	45%	55%	64%	73%	27%	0%
Justin Jefferson	MIN	16	0%	13%	38%	63%	69%	19%	13%
Ladd McConkey	LAC	16	0%	19%	44%	50%	69%	31%	0%
Troy Franklin	DEN	16	13%	19%	25%	44%	69%	31%	0%
Keenan Allen	LAC	16	6%	19%	25%	31%	63%	31%	6%
Quentin Johnston	LAC	14	14%	21%	50%	64%	71%	21%	7%
DJ Moore	CHI	16	0%	25%	25%	38%	69%	31%	0%
Jakobi Meyers	JAC	15	0%	7%	27%	47%	73%	7%	20%
Khalil Shakir	BUF	16	0%	6%	25%	56%	69%	25%	6%
Jauan Jennings	SF	14	0%	14%	50%	57%	71%	21%	7%
Romeo Doubs	GB	16	6%	13%	19%	44%	69%	31%	0%
Parker Washington	JAC	15	7%	13%	33%	47%	60%	33%	7%
Tre Tucker	LV	16	6%	6%	13%	31%	50%	44%	6%
Rashid Shaheed	SEA	17	0%	6%	24%	35%	65%	29%	6%
Alec Pierce	IND	14	7%	7%	36%	57%	64%	29%	7%
Rashee Rice	KC	8	38%	50%	63%	75%	88%	0%	13%
Rome Odunze	CHI	12	8%	17%	50%	50%	58%	42%	0%
Jordan Addison	MIN	13	0%	8%	23%	54%	77%	23%	0%
