Name	Team	Bye	POS.RK	REAL-TIME	TREND (24H)	TREND (7D)	PICK NUM.	ESPN	YAHOO	SLEEPER
Bijan Robinson	ATL	11	RB1	2.2	-	-	1.01	2	—	2
Jahmyr Gibbs	DET	6	RB2	2.7	-1.4	-1.5	1.02	1	—	1
Ja'Marr Chase	CIN	6	WR1	3.3	-	-	1.03	3	—	3
Christian McCaffrey	SF	8	RB3	5.9	-	-	1.04	7	—	5
Puka Nacua	LAR	11	WR2	6.7	-	-1.8	1.05	4	—	4
Jonathan Taylor	IND	13	RB4	7.6	-1.2	-	1.06	6	—	7
Jaxon Smith-Njigba	SEA	11	WR3	8.1	-1.3	-1.6	1.07	5	—	6
Amon-Ra St. Brown	DET	6	WR4	8.7	-	-1.5	1.08	8	—	8
CeeDee Lamb	DAL	14	WR5	11.2	-	-	1.09	10	—	10
Saquon Barkley	PHI	10	RB5	11.3	-	-	1.1	13	—	12
James Cook III	BUF	7	RB6	11.6	-1.7	-1.3	1.11	9	—	9
Justin Jefferson	MIN	6	WR6	12.9	-	-	1.12	12	—	11
De'Von Achane	MIA	6	RB7	15.2	-1.5	-1.6	2.01	11	—	14
Chase Brown	CIN	6	RB8	15.7	-	-	2.02	15	—	16
Omarion Hampton	LAC	7	RB9	16.3	-	1.3	2.03	16	—	15
Kenneth Walker III	KC	5	RB10	16.9	-	-	2.04	23	—	19
Derrick Henry	BAL	13	RB11	17.8	-	1.2	2.05	14	—	21
Ashton Jeanty	LV	13	RB12	19.8	-	-	2.06	20	—	13
A.J. Brown	NE	11	WR7	19.8	-	-	2.07	19	—	17
Drake London	ATL	11	WR8	19.9	-	-	2.08	18	—	18
Brock Bowers	LV	13	TE1	22.2	-	-	2.09	22	—	23
Nico Collins	HOU	8	WR9	22.7	-	-	2.1	24	—	25
George Pickens	DAL	14	WR10	22.8	-	-	2.11	26	—	22
Josh Allen	BUF	7	QB1	24.3	-	-1.8	2.12	17	—	20
Kyren Williams	LAR	11	RB13	27.7	-	-	3.01	33	—	28
Malik Nabers	NYG	8	WR11	27.7	-	-	3.02	30	—	26
Trey McBride	ARI	14	TE2	28.8	-	-4	3.03	21	—	24
Chris Olave	NO	8	WR12	29.2	-	1.2	3.04	28	—	30
DeVonta Smith	PHI	10	WR13	29.4	2.2	1.5	3.05	34	—	32
Jeremiyah Love	ARI	14	RB14	30.9	-1.7	1.9	3.06	25	—	27
Javonte Williams	DAL	14	RB15	31	1.5	2.5	3.07	29	—	33
Breece Hall	NYJ	13	RB16	33.8	-	2.2	3.08	32	—	35
Tee Higgins	CIN	6	WR14	36	-	-	3.09	46	—	34
Rashee Rice	KC	5	WR15	36.1	-3.9	-5.1	3.1	27	—	29
Zay Flowers	BAL	13	WR16	37	-	-	3.11	39	—	41
Ladd McConkey	LAC	7	WR17	37.3	-	-	3.12	43	—	37
Jaylen Waddle	DEN	10	WR18	39.1	2.4	2	4.01	48	—	45
Lamar Jackson	BAL	13	QB2	40.9	-3	-3.7	4.02	31	—	31
Travis Etienne Jr.	NO	8	RB17	41.6	-	-	4.03	36	—	44
Cam Skattebo	NYG	8	RB18	41.7	-	4	4.04	40	—	42
Colston Loveland	CHI	10	TE3	41.7	-	1.4	4.05	38	—	40
Tetairoa McMillan	CAR	5	WR19	42	-	-1.9	4.06	37	—	38
Emeka Egbuka	TB	10	WR20	42.9	-	-1.9	4.07	41	—	39
Garrett Wilson	NYJ	13	WR21	43	-	1.4	4.08	35	—	46
D'Andre Swift	CHI	10	RB19	43	2	4.4	4.09	50	—	51
Bucky Irving	TB	10	RB20	48.2	-	2.8	4.1	53	—	43
David Montgomery	HOU	8	RB21	49.4	-	1.7	4.11	57	—	49
Terry McLaurin	WAS	7	WR22	51.2	-	2.2	4.12	54	—	55
Tyler Warren	IND	13	TE4	51.4	-	-	5.01	47	—	48
Luther Burden III	CHI	10	WR23	51.9	-	2.7	5.02	66	—	54
DJ Moore	BUF	7	WR24	52.1	-	-	5.03	55	—	56
Drake Maye	NE	11	QB3	53.4	-	-1.4	5.04	44	—	47
Davante Adams	LAR	11	WR25	53.4	-1.3	1.2	5.05	42	—	50
Quinshon Judkins	CLE	11	RB22	53.8	-	-	5.06	45	—	53
Jadarian Price	SEA	11	RB23	56.8	1.4	5.6	5.07	61	—	65
Joe Burrow	CIN	6	QB4	56.9	-	-	5.08	51	—	52
Bhayshul Tuten	JAC	7	RB24	57.7	-1.2	2.5	5.09	56	—	61
Rome Odunze	CHI	10	WR26	58.7	-	-	5.1	60	—	64
Jameson Williams	DET	6	WR27	59.1	1.5	1.3	5.11	59	—	60
Jalen Hurts	PHI	10	QB5	61.5	2.8	3.6	5.12	52	—	59
Christian Watson	GB	11	WR28	63.8	-1.4	-	6.01	80	—	69
Parker Washington	JAC	7	WR29	64.3	1.8	3.3	6.02	82	—	73
Mike Evans	SF	8	WR30	64.9	-	-	6.03	74	—	62
TreVeyon Henderson	NE	11	RB25	65.8	-	-3.8	6.04	69	—	57
Tucker Kraft	GB	11	TE5	66	5	1.1	6.05	84	—	63
Jayden Daniels	WAS	7	QB6	66.8	2.5	-1.5	6.06	49	—	66
Sam LaPorta	DET	6	TE6	68.6	-	-	6.07	65	—	58
Jaylen Warren	PIT	9	RB26	69.5	-	1.9	6.08	78	—	72
Rhamondre Stevenson	NE	11	RB27	71.4	-	5	6.09	70	—	81
Marvin Harrison Jr.	ARI	14	WR31	73.8	-	-1.3	6.1	71	—	77
Carnell Tate	TEN	9	WR32	74.2	-2.4	-4.9	6.11	68	—	67
Kyle Pitts Sr.	ATL	11	TE7	74.3	-	1.6	6.12	62	—	68
Caleb Williams	CHI	10	QB7	76.1	-	-	7.01	83	—	71
Harold Fannin Jr.	CLE	11	TE8	77.1	-1.8	-4.4	7.02	63	—	70
DK Metcalf	PIT	9	WR33	78.5	-	-2.6	7.03	75	—	75
Brian Thomas Jr.	JAC	7	WR34	80.1	-	-2.9	7.04	107	—	74
Tony Pollard	TEN	9	RB28	80.7	1.2	2.6	7.05	81	—	84
Rico Dowdle	PIT	9	RB29	80.9	3.8	3.3	7.06	88	—	86
Dak Prescott	DAL	14	QB8	83.3	1.4	-	7.07	64	—	76
George Kittle	SF	8	TE9	84.4	-	3.1	7.08	67	—	83
Jonathon Brooks	CAR	5	RB30	84.4	3.2	1.3	7.09	97	—	103
Justin Herbert	LAC	7	QB9	84.8	-	-	7.1	77	—	82
Chris Godwin Jr.	TB	10	WR35	84.8	-	1.6	7.11	116	—	93
Josh Jacobs	GB	11	RB31	85.5	-	-50.4	7.12	58	—	36
MarShawn Lloyd	GB	11	RB32	86.9	5.5	70.3	8.01	123	—	159
Courtland Sutton	DEN	10	WR36	88.1	-	-1.9	8.02	72	—	80
Michael Wilson	ARI	14	WR37	89.5	-	-1.5	8.03	93	—	85
Chuba Hubbard	CAR	5	RB33	89.7	-	2.8	8.04	100	—	78
J.K. Dobbins	DEN	10	RB34	91.8	-3.2	-1.4	8.05	104	—	92
RJ Harvey	DEN	10	RB35	93.4	-4.1	-3.5	8.06	121	—	79
Alec Pierce	IND	13	WR38	96	-	8.6	8.07	99	—	97
Trevor Lawrence	JAC	7	QB10	97.5	-	2.7	8.08	90	—	100
Stefon Diggs	WAS	7	WR39	97.7	4	1.9	8.09	95	—	108
Travis Kelce	KC	5	TE10	99	-	-	8.1	87	—	89
Blake Corum	LAR	11	RB36	99.3	-1.2	-	8.11	122	—	102
