Name	Team	Bye	POS.RK	REAL-TIME	TREND (24H)	TREND (7D)	PICK NUM.	ESPN	YAHOO	SLEEPER
Jahmyr Gibbs	DET	6	RB1	1.5	-	-	1.01	—	1	1
Bijan Robinson	ATL	11	RB2	2.3	-	-	1.02	—	2	2
Ja'Marr Chase	CIN	6	WR1	3.8	-	-	1.03	—	3	3
Jonathan Taylor	IND	13	RB3	5.6	-	-	1.04	—	6	6
Christian McCaffrey	SF	8	RB4	6.6	-	-	1.05	—	5	4
Puka Nacua	LAR	11	WR2	7.1	-1.2	-2.1	1.06	—	4	5
Amon-Ra St. Brown	DET	6	WR3	8	-	-	1.07	—	8	8
Jaxon Smith-Njigba	SEA	11	WR4	8	-	-	1.08	—	7	7
James Cook III	BUF	7	RB5	8.7	-	-	1.09	—	9	9
Saquon Barkley	PHI	10	RB6	10	-	1.1	1.1	—	11	10
CeeDee Lamb	DAL	14	WR5	12.2	-	-	1.11	—	10	11
Justin Jefferson	MIN	6	WR6	13.8	-	-	1.12	—	12	12
Chase Brown	CIN	6	RB7	15	-	-	2.01	—	16	17
De'Von Achane	MIA	6	RB8	15.1	-	-	2.02	—	13	14
Kenneth Walker III	KC	5	RB9	15.6	-	-	2.03	—	15	18
Derrick Henry	BAL	13	RB10	16	-	1.4	2.04	—	17	16
Omarion Hampton	LAC	7	RB11	17	-	-	2.05	—	18	15
A.J. Brown	NE	11	WR7	20.8	-	1.1	2.06	—	24	19
Ashton Jeanty	LV	13	RB12	20.8	-	-7.1	2.07	—	14	13
Nico Collins	HOU	8	WR8	21.2	-	1.8	2.08	—	22	23
Brock Bowers	LV	13	TE1	21.9	-	-	2.09	—	21	22
Drake London	ATL	11	WR9	22.1	-	-1.8	2.1	—	19	21
Josh Allen	BUF	7	QB1	22.9	-	-	2.11	—	20	20
George Pickens	DAL	14	WR10	24	-	-	2.12	—	23	24
Kyren Williams	LAR	11	RB13	25.8	-	-	3.01	—	26	26
Malik Nabers	NYG	8	WR11	27.8	-	-	3.02	—	29	28
Trey McBride	ARI	14	TE2	28.5	-	-1.9	3.03	—	25	25
DeVonta Smith	PHI	10	WR12	30.4	-	-	3.04	—	28	34
Chris Olave	NO	8	WR13	30.6	-	-	3.05	—	30	31
Jeremiyah Love	ARI	14	RB14	31.7	-	1.7	3.06	—	27	27
Breece Hall	NYJ	13	RB15	32.5	-	2.4	3.07	—	33	32
Javonte Williams	DAL	14	RB16	33.3	-	-	3.08	—	32	33
Tee Higgins	CIN	6	WR14	34.1	1.2	1.9	3.09	—	31	38
Zay Flowers	BAL	13	WR15	35.5	-	-	3.1	—	36	42
Rashee Rice	KC	5	WR16	36.3	-	-1.5	3.11	—	34	30
Jaylen Waddle	DEN	10	WR17	38.6	-	-	3.12	—	39	48
Lamar Jackson	BAL	13	QB2	39.7	1.1	-	4.01	—	37	35
Travis Etienne Jr.	NO	8	RB17	39.9	-	1.4	4.02	—	42	41
Colston Loveland	CHI	10	TE3	40.5	1.3	1.4	4.03	—	38	43
Ladd McConkey	LAC	7	WR18	41.1	-	-	4.04	—	44	40
