Name	Team	Bye	POS.RK	REAL-TIME	TREND (24H)	TREND (7D)	PICK NUM.	ESPN	YAHOO	SLEEPER
Jahmyr Gibbs	DET	6	RB1	1.6	-	-	1.01	—	—	2
Bijan Robinson	ATL	11	RB2	2.3	-	-	1.02	—	—	1
Ja'Marr Chase	CIN	6	WR1	4.6	-	-	1.03	—	—	6
Puka Nacua	LAR	11	WR2	6.6	-	-	1.04	—	—	9
Jonathan Taylor	IND	13	RB3	7.1	-2	-	1.05	—	—	3
Christian McCaffrey	SF	8	RB4	8.1	-1.7	-1.5	1.06	—	—	4
Amon-Ra St. Brown	DET	6	WR3	9	-	-	1.07	—	—	18
James Cook III	BUF	7	RB5	9.4	-1.6	-	1.08	—	—	5
Saquon Barkley	PHI	10	RB6	10.2	-	2.8	1.09	—	—	14
CeeDee Lamb	DAL	14	WR4	13	-	-	1.1	—	—	15
Justin Jefferson	MIN	6	WR5	14.2	-	2.3	1.11	—	—	20
Derrick Henry	BAL	13	RB7	14.4	-	-	1.12	—	—	7
De'Von Achane	MIA	6	RB8	14.6	-	-	2.01	—	—	8
Jaxon Smith-Njigba	SEA	11	WR6	14.6	-5.8	-6.1	2.02	—	—	10
Chase Brown	CIN	6	RB9	15.3	-	1.7	2.03	—	—	19
Kenneth Walker III	KC	5	RB10	15.9	-1.4	-1.1	2.04	—	—	24
Omarion Hampton	LAC	7	RB11	18.1	-1.3	-	2.05	—	—	12
Ashton Jeanty	LV	13	RB12	20.5	-	-3	2.06	—	—	11
A.J. Brown	NE	11	WR7	20.9	-	-	2.07	—	—	34
Drake London	ATL	11	WR8	22.1	-	-	2.08	—	—	21
Nico Collins	HOU	8	WR9	22.8	-	-	2.09	—	—	26
Brock Bowers	LV	13	TE1	23.3	-	2.3	2.1	—	—	29
Josh Allen	BUF	7	QB1	23.5	-	-1.4	2.11	—	—	16
Kyren Williams	LAR	11	RB13	24.2	-	1.2	2.12	—	—	13
George Pickens	DAL	14	WR10	25.3	-1.2	-1.3	3.01	—	—	28
Jeremiyah Love	ARI	14	RB14	29.1	-	2.5	3.02	—	—	17
Malik Nabers	NYG	8	WR11	29.5	-	-	3.03	—	—	30
Trey McBride	ARI	14	TE2	30.2	-1.3	-3.1	3.04	—	—	23
Chris Olave	NO	8	WR12	31.1	-1.6	-	3.05	—	—	31
