Player	Position	Team	gp	att	yds	avg	td	tgt	rec	yds	yds/g	avg	td	fl
Jahmyr Gibbs	RB	DET	17	262	1353	5.2	15	91	74	625	36.8	8.5	5	1
Bijan Robinson	RB	ATL	17	289	1402	4.9	9	91	72	701	41.2	9.7	4	2
Jonathan Taylor	RB	IND	17	356	1578	4.4	15	53	42	345	20.3	8.2	2	2
De'Von Achane	RB	MIA	17	229	1131	4.9	7	92	75	550	32.4	7.3	6	1
Christian McCaffrey	RB	SF	17	256	1009	3.9	8	93	74	679	39.9	9.2	5	1
Chase Brown	RB	CIN	17	236	1008	4.3	9	91	72	471	27.7	6.5	5	1
Derrick Henry	RB	BAL	17	304	1654	5.4	15	23	17	171	10.1	10.1	1	2
James Cook	RB	BUF	17	288	1437	5	9	39	32	274	16.1	8.6	2	3
Saquon Barkley	RB	PHI	17	306	1376	4.5	7	55	40	313	18.4	7.8	2	1
Kenneth Walker III	RB	KC	17	249	1160	4.7	8	55	47	361	21.2	7.7	0	1
Kyren Williams	RB	LAR	17	235	1113	4.7	10	44	34	250	14.7	7.4	3	2
Ashton Jeanty	RB	LV	17	229	876	3.8	8	65	49	300	17.6	6.1	5	1
Travis Etienne	RB	NO	17	251	988	3.9	5	65	47	358	21.1	7.6	5	1
Cam Skattebo	RB	NYG	17	208	907	4.4	9	55	41	352	20.7	8.6	4	2
Bucky Irving	RB	TB	17	265	1028	3.9	6	51	44	401	23.6	9.1	3	1
D'Andre Swift	RB	CHI	17	248	1120	4.5	9	48	36	325	19.1	9	1	1
Omarion Hampton	RB	LAC	17	220	891	4.1	10	53	47	299	17.6	6.4	2	1
Jeremiyah Love	RB	ARI	17	211	997	4.7	8	56	43	382	22.5	8.9	2	3
Josh Jacobs	RB	GB	17	263	1008	3.8	11	40	32	253	14.9	7.9	1	1
Breece Hall	RB	NYJ	17	224	1014	4.5	6	53	40	370	21.8	9.3	2	2
Quinshon Judkins	RB	CLE	17	277	975	3.5	10	51	37	243	14.3	6.6	0	1
Javonte Williams	RB	DAL	17	234	1089	4.7	10	42	29	141	8.3	4.9	1	2
David Montgomery	RB	HOU	17	263	1012	3.9	9	31	27	211	12.4	7.8	0	2
Bhayshul Tuten	RB	JAC	17	224	890	4	11	22	16	128	7.5	8	3	3
Jadarian Price	RB	SEA	17	229	980	4.3	9	27	21	222	13.1	10.6	1	3
Kenneth Gainwell	RB	TB	17	123	536	4.4	4	71	60	439	25.8	7.3	2	1
Rico Dowdle	RB	PIT	17	191	834	4.4	7	46	36	253	14.9	7	1	1
RJ Harvey	RB	DEN	17	149	530	3.6	6	56	45	332	19.5	7.4	4	1
Jaylen Warren	RB	PIT	17	194	837	4.3	5	46	40	317	18.6	7.9	1	1
TreVeyon Henderson	RB	NE	17	189	884	4.7	7	40	33	207	12.2	6.3	1	1
Tony Pollard	RB	TEN	17	227	993	4.4	6	43	34	215	12.6	6.3	0	3
Rhamondre Stevenson	RB	NE	17	169	694	4.1	7	40	33	332	19.5	10.1	2	3
J.K. Dobbins	RB	DEN	17	249	1137	4.6	7	26	21	77	4.5	3.7	0	1
Jonathon Brooks	RB	CAR	17	214	878	4.1	7	29	24	200	11.8	8.3	1	2
Chuba Hubbard	RB	CAR	17	166	711	4.3	5	44	34	211	12.4	6.2	3	1
Aaron Jones	RB	MIN	17	157	662	4.2	3	53	38	290	17.1	7.6	2	1
Kyle Monangai	RB	CHI	17	206	854	4.2	5	37	23	208	12.2	9	0	1
Jordan Mason	RB	MIN	17	195	906	4.7	7	21	18	82	4.8	4.6	0	1
Rachaad White	RB	WAS	17	145	710	4.9	6	28	25	167	9.8	6.7	1	1
Jacory Croskey-Merritt	RB	WAS	17	180	859	4.8	8	13	9	71	4.2	7.9	0	2
Tyjae Spears	RB	TEN	17	93	348	3.7	4	56	50	327	19.2	6.5	1	1
Tyrone Tracy Jr.	RB	NYG	17	134	567	4.2	3	41	31	241	14.2	7.8	2	1
Mike Washington Jr.	RB	LV	17	164	612	3.7	4	36	27	227	13.4	8.4	1	2
MarShawn Lloyd	RB	GB	17	182	747	4.1	6	15	12	112	6.6	9.3	1	2
Dylan Sampson	RB	CLE	17	105	290	2.8	2	53	44	351	20.6	8	3	2
Blake Corum	RB	LAR	17	162	822	5.1	6	8	6	35	2.1	5.8	0	1
Woody Marks	RB	HOU	17	150	560	3.7	3	32	21	177	10.4	8.4	3	1
Zach Charbonnet	RB	SEA	17	127	507	4	7	25	20	161	9.5	8.1	0	1
Isiah Pacheco	RB	DET	17	148	618	4.2	3	35	26	156	9.2	6	1	1
James Conner	RB	ARI	17	85	307	3.6	3	42	36	276	16.2	7.7	2	0
Jordan James	RB	SF	17	126	494	3.9	4	31	24	232	13.6	9.7	1	2
Chris Rodriguez Jr.	RB	JAC	17	177	694	3.9	8	3	2	23	1.4	11.5	0	1
Braelon Allen	RB	NYJ	17	141	550	3.9	6	21	15	111	6.5	7.4	1	3
Kaelon Black	RB	SF	17	152	594	3.9	5	17	13	127	7.5	9.8	1	2
Alvin Kamara	RB	NO	16	117	441	3.8	3	39	31	228	14.3	7.4	0	1
