TEAM	PROJECTED STARTER	ECR	HANDCUFF	ECR	ADP
Arizona Cardinals	Jeremiyah Love	14	Tyler Allgeier	45	12th round
Atlanta Falcons	Bijan Robinson	2	Brian Robinson Jr.	57	14th round
Baltimore Ravens	Derrick Henry	12	Justice Hill	68	22nd round
Buffalo Bills	James Cook III	5	Ray Davis	60	19th round
Carolina Panthers	Jonathon Brooks	30	Chuba Hubbard	33	8th round
Chicago Bears	D'Andre Swift	19	Kyle Monangai	41	9th round
Cincinnati Bengals	Chase Brown	6	Samaje Perine	73	32nd round
Cleveland Browns	Quinshon Judkins	23	Dylan Sampson	46	17th round
Dallas Cowboys	Javonte Williams	16	Jaydon Blue	64	19th round
Denver Broncos	J.K. Dobbins	35	RJ Harvey	32	7th round
Detroit Lions	Jahmyr Gibbs	1	Isiah Pacheco	52	13th round
Green Bay Packers	Josh Jacobs	18	MarShawn Lloyd	53	13th round
Houston Texans	David Montgomery	22	Woody Marks	42	12th round
Indianapolis Colts	Jonathan Taylor	4	Seth McGowan	82	46th round
Jacksonville Jaguars	Bhayshul Tuten	24	Chris Rodriguez Jr.	44	12th round
Kansas City Chiefs	Kenneth Walker III	9	Emmett Johnson	58	19th round
Los Angeles Chargers	Omarion Hampton	10	Kimani Vidal	59	20th round
Los Angeles Rams	Kyren Williams	15	Blake Corum	36	9th round
Las Vegas Raiders	Ashton Jeanty	11	Mike Washington Jr.	56	12th round
Miami Dolphins	De'Von Achane	7	Jaylen Wright	69	21st round
Minnesota Vikings	Jordan Mason	39	Aaron Jones Sr.	40	10th round
New England Patriots	Rhamondre Stevenson	27	TreVeyon Henderson	26	5th round
New Orleans Saints	Travis Etienne Jr.	17	Alvin Kamara	51	13th round
New York Giants	Cam Skattebo	20	—	—	—
New York Jets	Breece Hall	13	Braelon Allen	55	17th round
Philadelphia Eagles	Saquon Barkley	8	Tank Bigsby	54	15th round
Pittsburgh Steelers	Rico Dowdle	31	Jaylen Warren	28	6th round
Seattle Seahawks	Jadarian Price	25	Emanuel Wilson	67	25th round
San Francisco 49ers	Christian McCaffrey	3	Kaelon Black	70	17th round
Tampa Bay Buccaneers	Bucky Irving	21	Kenny Gainwell	34	8th round
Tennessee Titans	Tony Pollard	29	Tyjae Spears	43	13th round
Washington Commanders	Rachaad White	37	Jacory Croskey-Merritt	38	9th round
