Player	Pos	School	College	Ht	Wt	40yd	Vertical	Bench	Broad Jump	3Cone	Shuttle	DraftTeam	DraftRound	DraftPick	DraftYear
Fernando Mendoza	QB	Indiana	College Stats	6-5	236							Las Vegas Raiders	1st	1st pick	2026
David Bailey	EDGE	Texas Tech	College Stats	6-4	251	4.5	35		129			New York Jets	1st	2nd pick	2026
Jeremiyah Love	RB	Notre Dame	College Stats	6-0	212	4.36						Arizona Cardinals	1st	3rd pick	2026
Carnell Tate	WR	Ohio St.	College Stats	6-2	192	4.53						Tennessee Titans	1st	4th pick	2026
Arvell Reese	EDGE	Ohio St.	College Stats	6-4	241	4.46						New York Giants	1st	5th pick	2026
Mansoor Delane	CB	LSU	College Stats	6-0	187							Kansas City Chiefs	1st	6th pick	2026
Alex Styles	LB	Ohio St.	College Stats	6-5	244	4.46	43.5		134	7.09	4.26	Washington Commanders	1st	7th pick	2026
Jordyn Tyson	WR	Arizona St.	College Stats	6-2	203			26				New Orleans Saints	1st	8th pick	2026
Spencer Fano	OT	Utah	College Stats	6-6	311	4.91	32		111	7.34	4.67	Cleveland Browns	1st	9th pick	2026
Francis Mauigoa	OT	Miami	College Stats	6-6	329							New York Giants	1st	10th pick	2026
Caleb Downs	SAF	Ohio St.	College Stats	6-0	206							Dallas Cowboys	1st	11th pick	2026
Kadyn Proctor	OT	Alabama	College Stats	6-7	352	5.21	32.5	25	109			Miami Dolphins	1st	12th pick	2026
Ty Simpson	QB	Alabama	College Stats	6-1	211							Los Angeles Rams	1st	13th pick	2026
Rueben Bain	EDGE	Miami	College Stats	6-2	263							Tampa Bay Buccaneers	1st	15th pick	2026
Kenyon Sadiq	TE	Oregon	College Stats	6-3	241	4.39	43.5	26	133			New York Jets	1st	16th pick	2026
Blake Miller	OT	Clemson	College Stats	6-7	317	5.04	32	32	113			Detroit Lions	1st	17th pick	2026
Caleb Banks	DT	Florida	College Stats	6-6	327	5.04	32		114			Minnesota Vikings	1st	18th pick	2026
Monroe Freeling	OT	Georgia	College Stats	6-7	315	4.93	33.5		115			Carolina Panthers	1st	19th pick	2026
Makai Lemon	WR	USC	College Stats	5-11	192							Philadelphia Eagles	1st	20th pick	2026
Maxwell Iheanachor	OT	Arizona St.	College Stats	6-6	321	4.91	30.5	25	115			Pittsburgh Steelers	1st	21st pick	2026
Akheem Mesidor	EDGE	Miami	College Stats	6-3	259							Los Angeles Chargers	1st	22nd pick	2026
Malachi Lawrence	EDGE	Central Florida	College Stats	6-4	253	4.52	40		130			Dallas Cowboys	1st	23rd pick	2026
Dillon Thieneman	SAF	Oregon	College Stats	6-0	201	4.35	41	18	125			Chicago Bears	1st	25th pick	2026
Keylan Rutledge	G	Georgia Tech	College Stats	6-4	316	5.05	32.5		104	7.54	4.54	Houston Texans	1st	26th pick	2026
Chris Johnson	CB	San Diego St.	College Stats	6-0	193	4.4	38	17	126			Miami Dolphins	1st	27th pick	2026
Caleb Lomu	OT	Utah	College Stats	6-6	313	4.99	32.5		113			New England Patriots	1st	28th pick	2026
Peter Woods	DT	Clemson	College Stats	6-3	298							Kansas City Chiefs	1st	29th pick	2026
Omar Cooper	WR	Indiana	College Stats	6-0	199	4.42	37					New York Jets	1st	30th pick	2026
Keldric Faulk	EDGE	Auburn	College Stats	6-6	276		35		117			Tennessee Titans	1st	31st pick	2026
Jadarian Price	RB	Notre Dame	College Stats	5-11	203	4.49	35	21	124			Seattle Seahawks	1st	32nd pick	2026
De'Zhaun-Ryan Stribling	WR	Mississippi	College Stats	6-2	207	4.36	36		127			San Francisco 49ers	2nd	33rd pick	2026
Chase Bisontis	G	Texas A&M	College Stats	6-5	315	5.02	32	29	105	7.53	4.78	Arizona Cardinals	2nd	34th pick	2026
Tomarrion Parker	EDGE	Clemson	College Stats	6-4	263	4.68	34		120			Buffalo Bills	2nd	35th pick	2026
Kayden McDonald	DT	Ohio St.	College Stats	6-2	326							Houston Texans	2nd	36th pick	2026
Colton Hood	CB	Tennessee	College Stats	6-0	193	4.44	40.5		125			New York Giants	2nd	37th pick	2026
