PLAYER	POS	TEAM	GAMES	SNAPS	SNAPS/GM	SNAP %	RUSH %	TGT %	TOUCH %	UTIL %
Malik Willis	QB	GB	4	98	25	41	22	0	58	58
Puka Nacua	WR	LAR	16	727	45	68	1	23	19	24
Derrick Henry	RB	BAL	17	556	33	55	55	4	58	59
Jahmyr Gibbs	RB	DET	17	737	43	67	33	13	43	46
James Cook III	RB	BUF	17	639	38	56	48	6	54	55
De'Von Achane	RB	MIA	16	697	44	75	34	12	44	46
Christian McCaffrey	RB	SF	17	932	55	83	33	14	44	47
Jaylen Warren	RB	PIT	16	489	31	50	43	9	51	52
Jaxon Smith-Njigba	WR	SEA	17	829	49	78	1	20	15	21
Cam Skattebo	RB	NYG	8	295	37	54	34	11	42	45
Bijan Robinson	RB	ATL	17	860	51	78	33	12	43	45
RJ Harvey	RB	DEN	17	481	28	42	30	12	40	43
Kenny Gainwell	RB	PIT	17	517	30	50	22	16	36	38
Josh Jacobs	RB	GB	15	554	37	59	42	8	49	50
Dalton Kincaid	TE	BUF	12	302	25	38	0	16	13	16
TreVeyon Henderson	RB	NE	17	501	29	46	36	8	43	44
Jonathan Taylor	RB	IND	17	883	52	82	37	6	42	43
David Montgomery	RB	DET	17	408	24	37	39	7	45	46
Kenneth Walker III	RB	SEA	17	498	29	47	44	7	51	52
Chase Brown	RB	CIN	17	738	43	66	31	12	41	43
Darren Waller	TE	MIA	9	234	26	45	0	15	11	15
Quinshon Judkins	RB	CLE	14	452	32	50	51	8	57	59
Zach Charbonnet	RB	SEA	16	490	31	49	38	5	42	42
D'Andre Swift	RB	CHI	16	621	39	58	36	8	41	44
Travis Etienne Jr.	RB	JAC	17	691	41	60	38	8	43	45
Rico Dowdle	RB	CAR	17	591	35	56	40	8	47	48
Josh Allen	QB	BUF	17	1,034	61	91	11	0	55	55
Rashee Rice	WR	KC	8	415	52	73	1	19	14	20
James Conner	RB	ARI	3	93	31	50	34	10	43	44
Omarion Hampton	RB	LAC	9	384	43	63	32	9	41	41
Stefon Diggs	WR	NE	17	598	35	55	0	17	14	17
Davante Adams	WR	LAR	14	635	45	70	0	18	9	18
Jacory Croskey-Merritt	RB	WAS	17	406	24	39	43	3	45	46
Tyreek Hill	WR	MIA	4	155	39	69	0	19	14	19
Amon-Ra St. Brown	WR	DET	17	939	55	85	0	18	13	19
Drake Maye	QB	NE	17	1,050	62	96	10	0	57	57
Kyren Williams	RB	LAR	17	772	45	68	34	6	38	40
J.K. Dobbins	RB	DEN	10	340	34	51	45	4	48	49
Rhamondre Stevenson	RB	NE	14	533	38	59	24	7	30	31
