Player	Position	Team	gp	tgt	rec	yds	yds/g	avg	td	fl
Trey McBride	TE	ARI	17	154	115	1082	63.6	9.4	8	0
Brock Bowers	TE	LV	17	119	88	994	58.5	11.3	9	0
Colston Loveland	TE	CHI	17	126	83	1042	61.3	12.6	8	0
Tyler Warren	TE	IND	17	124	85	912	53.6	10.7	6	0
Kyle Pitts	TE	ATL	17	113	82	931	54.8	11.4	7	0
Dallas Goedert	TE	PHI	17	92	68	717	42.2	10.5	11	0
Harold Fannin Jr.	TE	CLE	17	112	75	828	48.7	11	8	1
Tucker Kraft	TE	GB	17	76	56	815	47.9	14.6	10	0
Sam LaPorta	TE	DET	17	92	72	908	53.4	12.6	6	0
George Kittle	TE	SF	17	88	72	844	49.6	11.7	7	0
Travis Kelce	TE	KC	17	110	78	814	47.9	10.4	6	0
Isaiah Likely	TE	NYG	17	94	69	897	52.8	13	7	2
Jake Ferguson	TE	DAL	17	100	78	636	37.4	8.2	7	2
Brenton Strange	TE	JAC	17	95	70	815	47.9	11.6	5	0
Dalton Kincaid	TE	BUF	17	81	60	779	45.8	13	7	0
Juwan Johnson	TE	NO	17	93	71	867	51	12.2	4	2
Mark Andrews	TE	BAL	17	78	55	549	32.3	10	9	0
Dalton Schultz	TE	HOU	17	96	71	684	40.2	9.6	4	0
Cade Otton	TE	TB	17	94	67	706	41.5	10.5	4	0
Hunter Henry	TE	NE	17	83	56	684	40.2	12.2	5	0
Greg Dulcich	TE	MIA	17	78	58	675	39.7	11.6	4	2
AJ Barner	TE	SEA	17	60	47	473	27.8	10.1	7	0
Chigoziem Okonkwo	TE	WAS	17	73	53	630	37.1	11.9	3	0
Kenyon Sadiq	TE	NYJ	17	70	47	529	31.1	11.3	6	1
Oronde Gadsden II	TE	LAC	17	68	49	689	40.5	14.1	3	1
Darren Waller	TE	MIA	17	65	45	466	27.4	10.4	6	0
T.J. Hockenson	TE	MIN	17	73	55	516	30.4	9.4	4	0
Pat Freiermuth	TE	PIT	17	60	46	511	30.1	11.1	5	0
Mason Taylor	TE	NYJ	17	83	56	462	27.2	8.3	4	0
Evan Engram	TE	DEN	17	84	56	477	28.1	8.5	3	0
Mike Gesicki	TE	CIN	17	69	49	540	31.8	11	3	0
Colby Parkinson	TE	LAR	17	57	41	435	25.6	10.6	6	1
David Njoku	TE	LAC	17	63	42	404	23.8	9.6	6	0
Tyler Higbee	TE	LAR	17	58	40	499	29.4	12.5	4	0
Terrance Ferguson	TE	LAR	17	57	29	530	31.2	18.3	5	0
Theo Johnson	TE	NYG	17	54	33	390	22.9	11.8	5	0
Gunnar Helm	TE	TEN	17	55	44	379	22.3	8.6	3	0
Dawson Knox	TE	BUF	17	48	35	401	23.6	11.5	3	0
Noah Fant	TE	NO	17	54	43	421	24.8	9.8	2	3
Michael Mayer	TE	LV	17	58	40	350	20.6	8.8	2	0
Will Kacmarek	TE	MIA	17	52	35	328	19.3	9.4	3	1
Brock Wright	TE	DET	17	47	32	279	16.4	8.7	4	0
Darnell Washington	TE	PIT	17	49	35	383	22.5	10.9	2	1
Charlie Kolar	TE	LAC	17	36	25	333	19.6	13.3	4	0
Marlin Klein	TE	HOU	17	51	35	349	20.5	10	2	1
Daniel Bellinger	TE	TEN	17	35	26	332	19.5	12.8	3	0
Erick All	TE	CIN	17	43	35	301	17.7	8.6	2	0
Ben Sims	TE	MIA	17	53	32	304	17.9	9.5	2	0
Eli Stowers	TE	PHI	17	45	31	322	18.9	10.4	2	1
Josh Oliver	TE	MIN	17	28	22	243	14.3	11.1	4	0
Davis Allen	TE	LAR	17	38	26	241	14.2	9.3	3	0
Adam Trautman	TE	DEN	17	36	27	281	16.5	10.4	2	0
Austin Hooper	TE	ATL	17	34	25	283	16.6	11.3	2	0
Luke Musgrave	TE	GB	17	35	26	265	15.6	10.2	2	0
Cole Kmet	TE	CHI	17	32	22	230	13.5	10.5	2	0
Jeremy Ruckert	TE	NYJ	17	36	27	197	11.6	7.3	2	0
Grant Calcaterra	TE	PHI	17	30	22	231	13.6	10.5	2	0
Nate Boerkircher	TE	JAC	17	32	22	240	14.1	10.9	2	1
Eli Raridon	TE	NE	17	32	22	235	13.8	10.7	2	1
Tommy Tremble	TE	CAR	17	30	23	201	11.8	8.7	2	0
Charlie Woerner	TE	ATL	17	32	25	222	13.1	8.9	1	0
John Bates	TE	WAS	17	31	20	204	12	10.2	2	1
Ja'Tavion Sanders	TE	CAR	17	30	25	191	11.2	7.6	1	0
Connor Heyward	FB	LV	17	19	14	103	6.1	7.4	2	0
Elijah Higgins	TE	ARI	17	28	23	210	12.4	9.1	1	1
Mitchell Evans	TE	CAR	17	22	16	142	8.4	8.9	2	0
Nate Adkins	TE	DEN	17	23	16	108	6.4	6.8	3	0
Cade Stover	TE	HOU	17	21	15	122	7.2	8.1	1	0
Foster Moreau	TE	HOU	17	15	11	132	7.8	12	2	0
Ben Sinnott	TE	WAS	17	13	11	122	7.2	11.1	2	0
Noah Gray	TE	KC	17	23	15	139	8.2	9.3	1	0
Jackson Hawes	TE	BUF	17	12	10	120	7.1	12	2	0
Devin Culp	TE	TB	17	14	11	118	6.9	10.7	2	0
Luke Schoonmaker	TE	DAL	17	23	15	133	7.8	8.9	1	0
Drew Sample	TE	CIN	17	16	13	100	5.9	7.7	1	0
Nick Vannett	TE	SEA	17	12	10	96	5.6	9.6	2	0
Hunter Long	TE	JAC	17	14	10	90	5.3	9	2	0
Jack Endries	TE	CIN	17	16	13	123	7.2	9.5	1	0
Zack Kuntz	TE	DAL	17	16	12	128	7.5	10.7	1	0
Will Mallory	TE	IND	17	13	11	126	7.4	11.5	1	0
Max Klare	TE	LAR	17	15	11	127	7.5	11.6	1	0
Justin Joly	TE	DEN	17	15	12	104	6.1	8.7	1	0
Travis Vokolek	TE	ARI	17	15	12	109	6.4	9.1	1	0
Anthony Firkser	TE	DET	17	15	12	103	6.1	8.6	1	0
Teagan Quitoriano	TE	ARI	17	15	12	109	6.4	9.1	1	0
Hayden Rucci	TE	SF	17	15	12	118	6.9	9.8	1	0
Dallen Bentley	TE	DEN	17	15	12	104	6.1	8.7	1	0
Rivaldo Fairweather	TE	ARI	17	15	12	109	6.4	9.1	1	0
Cam Grandy	TE	CIN	17	16	13	100	5.9	7.7	1	0
Zaire Mitchell-Paden	TE	NO	17	15	11	107	6.3	9.7	1	0
Bauer Sharp	TE	TB	17	14	11	113	6.6	10.3	1	0
Oscar Delp	TE	NO	17	15	11	115	6.8	10.5	1	0
Brevyn Spann-Ford	TE	DAL	17	16	11	105	6.2	9.6	1	0
Lucas Krull	TE	DEN	17	16	12	89	5.2	7.4	1	0
Tip Reiman	TE	ARI	17	13	12	90	5.3	7.5	1	0
Jake Tonges	TE	SF	17	16	12	101	5.9	8.4	1	0
Tanner Koziol	TE	JAC	17	13	10	111	6.5	11.1	1	0
Sam Roush	TE	CHI	17	13	10	112	6.6	11.2	1	0
Tanner Conner	TE	NYG	17	16	10	113	6.6	11.3	1	0
Elijah Arroyo	TE	SEA	17	18	10	116	6.8	11.6	1	0
