Player	Position	Team	gp	tgt	rec	yds	yds/g	avg	td	att	yds	avg	td	fl
Puka Nacua	WR	LAR	17	177	129	1700	100	13.2	9	15	109	7.3	2	1
Jaxon Smith-Njigba	WR	SEA	17	154	111	1619	95.2	14.6	12	7	36	5.1	0	1
Ja'Marr Chase	WR	CIN	17	187	128	1552	91.3	12.1	10	3	19	6.3	0	1
Drake London	WR	ATL	17	168	104	1421	83.6	13.7	13	0	0	0	0	1
Amon-Ra St. Brown	WR	DET	17	162	115	1368	80.5	11.9	11	3	8	2.7	0	0
Rashee Rice	WR	KC	17	151	105	1052	61.9	10	13	8	34	4.3	2	0
George Pickens	WR	DAL	17	142	94	1388	81.6	14.8	10	1	0	0	0	0
Chris Olave	WR	NO	17	152	98	1242	73.1	12.7	10	1	0	0	0	0
A.J. Brown	WR	NE	17	143	91	1325	77.9	14.6	9	0	0	0	0	0
CeeDee Lamb	WR	DAL	17	157	102	1335	78.5	13.1	6	5	25	5	0	0
Justin Jefferson	WR	MIN	17	146	90	1269	74.6	14.1	7	2	6	3	0	0
Nico Collins	WR	HOU	17	134	82	1232	72.5	15	8	2	13	6.5	1	1
Zay Flowers	WR	BAL	17	118	83	1184	69.6	14.3	8	10	60	6	1	2
Malik Nabers	WR	NYG	17	128	76	1037	61	13.6	11	4	2	0.5	0	0
Tetairoa McMillan	WR	CAR	17	141	82	1172	68.9	14.3	8	0	0	0	0	1
Tee Higgins	WR	CIN	17	119	74	1034	60.8	14	11	0	0	0	0	0
DeVonta Smith	WR	PHI	17	126	90	1153	67.8	12.8	6	0	0	0	0	0
Garrett Wilson	WR	NYJ	17	141	89	955	56.2	10.7	9	1	2	2	0	1
Emeka Egbuka	WR	TB	17	143	72	1122	66	15.6	8	2	10	5	0	0
Ladd McConkey	WR	LAC	17	127	82	1035	60.9	12.6	8	0	0	0	0	0
Jameson Williams	WR	DET	17	99	63	1081	63.6	17.2	7	7	39	5.6	1	0
Mike Evans	WR	SF	17	133	76	989	58.2	13	8	0	0	0	0	0
Terry McLaurin	WR	WAS	17	98	65	928	54.6	14.3	10	1	1	1	0	0
Luther Burden III	WR	CHI	17	101	73	1056	62.1	14.5	6	8	32	4	0	0
Davante Adams	WR	LAR	17	128	69	851	50.1	12.3	10	0	0	0	0	0
Jaylen Waddle	WR	DEN	17	114	74	995	58.5	13.5	6	3	25	8.3	0	0
DJ Moore	WR	BUF	17	109	70	815	47.9	11.6	8	16	81	5.1	1	1
Alec Pierce	WR	IND	17	89	49	1067	62.8	21.8	9	0	0	0	0	0
Marvin Harrison Jr.	WR	ARI	17	125	69	948	55.8	13.7	7	0	0	0	0	0
Rome Odunze	WR	CHI	17	125	63	916	53.9	14.5	8	1	4	4	0	0
Courtland Sutton	WR	DEN	17	118	70	911	53.6	13	7	0	0	0	0	0
Brian Thomas Jr.	WR	JAC	17	106	61	942	55.4	15.4	6	4	30	7.5	1	0
Parker Washington	WR	JAC	17	101	62	925	54.4	14.9	7	7	2	0.3	0	0
Christian Watson	WR	GB	17	89	53	943	55.5	17.8	8	3	11	3.7	0	0
Chris Godwin	WR	TB	17	108	75	842	49.5	11.2	6	1	1	1	0	0
DK Metcalf	WR	PIT	17	103	61	892	52.5	14.6	6	2	10	5	1	0
Quentin Johnston	WR	LAC	17	98	58	787	46.3	13.6	9	3	7	2.3	0	1
Wan'Dale Robinson	WR	TEN	17	127	84	797	46.9	9.5	4	2	6	3	0	0
Michael Wilson	WR	ARI	17	106	66	797	46.9	12.1	6	0	2	0	0	0
Jakobi Meyers	WR	JAC	17	102	68	814	47.9	12	5	4	17	4.3	0	1
Michael Pittman	WR	PIT	17	111	77	678	39.9	8.8	6	0	0	0	0	0
Romeo Doubs	WR	NE	17	93	61	809	47.6	13.3	6	0	0	0	0	0
Deebo Samuel	WR	SF	17	92	65	648	38.1	10	5	36	114	3.2	1	0
Jayden Reed	WR	GB	17	78	60	731	43	12.2	5	16	128	8	0	0
Josh Downs	WR	IND	17	103	68	711	41.8	10.5	6	2	2	1	0	1
De'Zhaun Stribling	WR	SF	17	96	59	852	50.1	14.4	5	3	13	4.3	0	2
Rashid Shaheed	WR	SEA	17	96	57	865	50.9	15.2	4	13	91	7	0	1
Jordan Addison	WR	MIN	17	89	50	736	43.3	14.7	6	3	78	26	1	0
Stefon Diggs	WR	WAS	17	85	68	750	44.1	11	4	1	2	2	0	0
KC Concepcion	WR	CLE	17	104	65	831	48.9	12.8	4	2	10	5	0	2
Jalen Coker	WR	CAR	17	79	60	746	43.9	12.4	6	0	0	0	0	1
Denzel Boston	WR	CLE	17	100	62	800	47.1	12.9	4	2	10	5	0	2
Calvin Ridley	WR	TEN	17	99	50	847	49.8	16.9	3	3	23	7.7	1	0
Xavier Worthy	WR	KC	17	88	53	644	37.9	12.2	4	22	146	6.6	1	0
Keenan Allen	WR	IND	17	99	62	675	39.7	10.9	5	0	0	0	0	0
Jerry Jeudy	WR	CLE	17	115	60	785	46.2	13.1	3	1	4	4	0	1
Khalil Shakir	WR	BUF	17	85	67	648	38.1	9.7	4	1	4	4	0	1
Carnell Tate	WR	TEN	17	91	56	772	45.4	13.8	4	2	9	4.5	0	2
Jauan Jennings	WR	MIN	17	83	51	629	37	12.3	7	0	0	0	0	1
Ja'Kobi Lane	WR	BAL	17	71	44	654	38.5	14.9	7	3	17	5.7	0	1
Cooper Kupp	WR	SEA	17	86	57	698	41.1	12.3	4	1	3	3	0	1
Troy Franklin	WR	DEN	17	92	56	589	34.6	10.5	6	4	11	2.8	0	1
Makai Lemon	WR	PHI	17	87	53	735	43.2	13.9	4	3	13	4.3	0	2
Tre Tucker	WR	LV	17	85	52	605	35.6	11.6	5	12	52	4.3	0	0
Matthew Golden	WR	GB	17	70	47	704	41.4	15	4	12	57	4.8	0	0
Rashod Bateman	WR	BAL	17	72	40	583	34.3	14.6	8	0	0	0	0	0
Tank Dell	WR	HOU	17	79	50	639	37.6	12.8	4	12	53	4.4	0	0
Christian Kirk	WR	SF	17	97	55	634	37.3	11.5	4	0	0	0	0	0
Jalen McMillan	WR	TB	17	66	46	626	36.8	13.6	4	5	29	5.8	0	0
Elic Ayomanor	WR	TEN	17	84	42	570	33.5	13.6	6	0	0	0	0	0
Antonio Williams	WR	WAS	17	73	45	650	38.2	14.4	4	3	15	5	0	2
Kayshon Boutte	WR	NE	17	61	39	584	34.4	15	6	0	0	0	0	0
Jalen Nailor	WR	LV	17	76	43	568	33.4	13.2	5	2	7	3.5	0	0
Chris Bell	WR	MIA	17	76	47	582	34.2	12.4	4	2	11	5.5	0	1
Marquise Brown	WR	PHI	17	69	44	545	32.1	12.4	5	0	0	0	0	0
Devaughn Vele	WR	NO	17	68	45	591	34.8	13.1	4	0	0	0	0	0
Chimere Dike	WR	TEN	17	70	45	431	25.4	9.6	6	10	17	1.7	0	1
Tory Horton	WR	SEA	17	64	39	504	29.6	12.9	6	1	6	6	0	1
Malik Benson	WR	LV	17	77	47	551	32.4	11.7	3	2	8	4	0	1
