City	Team	Abv	int	sfty	sck	tk	frec	fum	dtd	pts	ppg	pass	rush	total	avg
Denver	Broncos	DEN	15	0	72.9	648	10	14	2.9	313	18.4	0	1753	4239	249.4
Houston	Texans	HOU	16	1	57.2	661	14	20	3.2	319	18.8	0	1814	4647	273.4
Seattle	Seahawks	SEA	14	0	50.9	697	12	16	4	299	17.6	0	1757	4709	277
Los Angeles	Rams	LAR	15	0	51.7	698	12	16	2.9	342	20.1	0	1900	5009	294.6
Philadelphia	Eagles	PHI	15	0	46.3	673	13	18	3	321	18.9	0	1914	4963	291.9
Minnesota	Vikings	MIN	13	0	61.6	683	16	22	3.1	358	21.1	0	1829	4662	274.2
New Orleans	Saints	NO	13	0	54.8	691	11	16	2.7	438	25.8	0	1803	5091	299.5
New England	Patriots	NE	14	0	45.6	699	12	17	3.5	371	21.8	0	1888	4942	290.7
Baltimore	Ravens	BAL	13	0	49.5	688	12	16	2.8	368	21.6	0	1736	5031	295.9
Cleveland	Browns	CLE	13	0	52.9	660	11	15	2.4	408	24	0	1811	4714	277.3
Kansas City	Chiefs	KC	13	0	44.1	713	10	14	2.6	361	21.2	0	1750	5082	298.9
Jacksonville	Jaguars	JAC	13	0	33	703	12	17	3.4	385	22.6	0	1848	5077	298.6
Detroit	Lions	DET	14	0	59.3	679	11	14	3.4	403	23.7	0	2037	5233	307.8
Los Angeles	Chargers	LAC	16	0	60.1	676	9	13	2.8	379	22.3	0	2045	5113	300.8
Pittsburgh	Steelers	PIT	12	0	50.2	702	17	23	3.1	364	21.4	0	1845	5389	317
Atlanta	Falcons	ATL	14	0	60.4	665	10	14	2.8	428	25.2	0	2021	5118	301.1
Buffalo	Bills	BUF	15	0	47.3	676	11	15	3.1	397	23.4	0	2283	5321	313
Chicago	Bears	CHI	15	0	42.7	711	13	18	3.2	396	23.3	0	2277	5922	348.4
Cincinnati	Bengals	CIN	13	0	47.1	676	13	18	3	450	26.5	0	2272	5762	338.9
Miami	Dolphins	MIA	10	0	52.4	738	13	18	2.7	473	27.8	0	2134	5800	341.2
Las Vegas	Raiders	LV	11	0	46.8	724	13	17	2.4	470	27.6	0	1746	5383	316.6
Tampa Bay	Buccaneers	TB	12	0	40.3	682	14	19	2.8	422	24.8	0	1847	5470	321.8
Green Bay	Packers	GB	13	0	39.2	722	12	16	2.7	378	22.2	0	1835	5173	304.3
Washington	Commanders	WAS	11	0	47.2	703	9	12	2.8	455	26.8	0	2176	6137	361
Indianapolis	Colts	IND	12	0	41.2	682	11	15	2.6	402	23.6	0	1817	5201	305.9
Carolina	Panthers	CAR	13	0	42.2	719	9	13	2.3	420	24.7	0	2073	5671	333.6
New York	Giants	NYG	10	0	41.2	705	11	16	2.7	467	27.5	0	2531	6170	362.9
San Francisco	49ers	SF	11	0	32	722	13	17	2.6	405	23.8	0	1933	5406	318
Tennessee	Titans	TEN	10	0	53.8	723	12	16	2.7	522	30.7	0	2072	5930	348.8
Arizona	Cardinals	ARI	12	0	35.6	746	12	16	2.5	516	30.4	0	2071	6014	353.8
Dallas	Dallas Cowboys	DAL	9	0	44	726	11	15	2.4	498	29.3	0	2208	6212	365.4
New York	Jets	NYJ	11	0	35.6	676	8	12	3	492	28.9	0	1856	5409	318.2
