Player	Position	Team	gp	fgm	fga	lng	1-19	1-19a	20-29	20-29a	30-39	30-39a	40-49	40-49a	50+	50+a	xpm	xpa
Jason Myers	K	SEA	17	39	44	—	0.304	0.304	8.4	9.2	12.5	13.2	11.4	12.9	6.5	6.5	50	51
Ka'imi Fairbairn	K	HOU	17	39	43	—	0.327	0.327	9	9.5	10.6	10.9	11.9	13.3	6.9	6.9	40	41
Brandon Aubrey	K	DAL	17	35	40	—	0.288	0.289	8.3	8.4	9.4	10.2	10.7	11.9	6.1	6.1	49	49
Blake Grupe	K	IND	17	34	42	—	0.262	0.262	8.9	9	11.5	13.5	7.5	11.2	5.6	5.6	51	52
Nick Folk	K	ATL	17	35	38	—	0.293	0.293	8	8.1	10.1	10.2	10.1	11.2	6.2	6.2	46	47
Cairo Santos	K	CHI	17	33	38	—	0.256	0.256	7	7.1	9.2	10.1	10.9	13.5	5.4	5.4	48	48
Jake Bates	K	DET	17	31	38	—	0.242	0.242	6.7	6.7	9.5	9.7	9.5	11.5	5	5	53	55
Cameron Dicker	K	LAC	17	35	38	—	0.277	0.278	7.6	7.7	11.6	12.3	10.3	11.5	5.3	5.3	38	40
Harrison Mevis	K	LAR	17	29	31	—	0.243	0.245	6.7	6.7	7.9	8.3	10.3	11.5	3.37	3.37	55	56
Will Reichard	K	MIN	17	33	36	—	0.29	0.291	8	8.1	10	10.3	8.3	9.3	6.2	6.2	42	43
Chase McLaughlin	K	TB	17	33	40	—	0.29	0.29	8.2	8.3	9.9	11.6	8.3	11.8	6.2	6.2	42	44
Tyler Loop	K	BAL	17	29	32	—	0.231	0.232	9.3	9.4	10.6	10.8	7.7	8.7	1.16	1.16	49	51
Cam Little	K	JAC	17	29	32	—	0.237	0.238	6.5	6.6	8.2	8.3	8.7	10.4	5	5	48	49
Evan McPherson	K	CIN	17	29	34	—	0.235	0.235	6.5	6.5	7.6	7.7	10	11.1	4.99	4.99	47	50
Wil Lutz	K	DEN	17	30	36	—	0.223	0.223	8.4	8.4	10.6	10.8	6.4	9.3	4.4	4.4	44	44
Harrison Butker	K	KC	17	33	38	—	0.506	0.506	9.5	9.8	10.1	10.2	8.4	10.1	4.62	4.62	35	39
Eddy Pineiro	K	SF	17	31	34	—	0.244	0.244	6.7	6.8	8.5	8.8	10.3	11.5	5.2	5.2	37	41
Charlie Smyth	K	NO	17	30	36	—	0.268	0.27	7.4	7.6	9.7	10.5	7.9	11	4.18	4.18	37	38
Trey Smack	K	GB	17	29	34	—	0.285	0.288	8	8.2	9.1	10.2	8	10.4	3.14	3.14	38	43
Tyler Bass	K	BUF	17	26	32	—	0.215	0.216	8.1	9	7.2	7.3	6.3	9.4	4.58	4.58	46	49
Jason Sanders	K	NYJ	17	29	34	—	0.24	0.24	6.6	6.7	10.5	10.7	6.9	9.7	5.1	5.1	35	37
Joey Slye	K	TEN	17	29	35	—	0.257	0.258	7.1	7.4	8.4	8.7	7.6	9.9	5.5	5.5	34	35
Andres Borregales	K	NE	17	26	31	—	0.409	0.41	7	7.1	8.8	9.7	6.3	9.4	3.52	3.52	43	44
Drew Stevens	K	WAS	17	27	32	—	0.27	0.273	7.6	7.8	8.7	9.6	7.6	9.8	2.98	2.98	39	43
Riley Patterson	K	MIA	17	27	31	—	0.217	0.217	6	6	8.6	9.6	9.2	10.3	3.19	3.19	38	39
Jake Elliott	K	PHI	17	26	33	—	0.2	0.2	5.5	5.6	8.4	8.7	8.4	10.8	3.36	3.36	41	43
Chad Ryland	K	ARI	17	26	33	—	0.215	0.215	5.9	6	8.3	9.1	7.3	10.7	4.56	4.56	37	37
Chris Boswell	K	PIT	17	25	29	—	0.211	0.211	5.8	5.9	6.9	8.2	7.6	8.7	4.48	4.48	36	37
Ryan Fitzgerald	K	CAR	17	24	29	—	0.197	0.197	5.9	6	7.9	8.9	8.4	9.3	1.97	1.97	34	37
Matt Gay	K	LV	17	23	31	—	0.186	0.187	6	6	6.1	6.9	7.1	7.9	3.96	3.96	34	34
Andre Szmyt	K	CLE	17	23	26	—	0.18	0.181	4.96	5	8.6	9.4	5.2	6.2	3.84	3.84	32	33
Ben Sauls	K	NYG	17	20	26	—	0.191	0.193	5.8	6.1	6.7	8.4	5.4	7.5	1.86	1.86	25	31
Dominic Zvada	K	NYG	17	7	9	—	0.067	0.067	1.87	1.93	2.14	2.64	1.87	2.7	0.734	0.734	9	12
Matt Prater	K	BUF	17	0	0	—	—	—	—	—	—	—	—	—	—	—	0	0
Spencer Shrader	K	IND	17	0	0	—	—	—	—	—	—	—	—	—	—	—	0	0
