City	Team	Abv	Position	INT	Safety	Sacks	TFL	FR	FF	DTD	Rush YPC	Pts Allowed	PAPG	Blk	Pass Yds	Total Yds
Denver	Broncos	DEN	D/ST	15	0	72.9	64	9	10	14	2.9	313	18.4	0	1762	4241
Houston	Texans	HOU	D/ST	16	1	56.9	66	2	14	20	3.3	319	18.8	0	1823	4659
Seattle	Seahawks	SEA	D/ST	14	0	50.6	69	9	12	16	4	298	17.5	0	1777	4738
Los Angeles	Rams	LAR	D/ST	15	0	51.3	69	9	12	16	2.9	342	20.1	0	1902	5016
Philadelphia	Eagles	PHI	D/ST	15	0	45.5	67	4	13	18	3	320	18.8	0	1918	4958
Minnesota	Vikings	MIN	D/ST	13	0	60.8	68	3	16	22	3.1	358	21.1	0	1833	4649
Atlanta	Falcons	ATL	D/ST	14	0	66	66	0	10	14	2.7	416	24.5	0	2035	4990
New Orleans	Saints	NO	D/ST	13	0	54.7	69	1	12	16	2.7	434	25.5	0	1818	5072
Baltimore	Ravens	BAL	D/ST	13	0	49.2	69	0	12	16	2.8	378	22.2	0	1757	5083
Cleveland	Browns	CLE	D/ST	13	0	52.7	66	0	11	15	2.5	406	23.9	0	1814	4705
New England	Patriots	NE	D/ST	13	0	44.2	68	0	12	16	3.4	362	21.3	0	1845	4811
Detroit	Lions	DET	D/ST	14	0	59.5	68	1	11	14	3.3	401	23.6	0	2054	5235
Pittsburgh	Steelers	PIT	D/ST	12	0	50.4	70	4	17	23	3.1	364	21.4	0	1869	5412
Los Angeles	Chargers	LAC	D/ST	16	0	60.1	67	6	9	13	2.8	379	22.3	0	2049	5112
Buffalo	Bills	BUF	D/ST	16	0	47.5	67	8	11	16	3.1	399	23.5	0	2305	5340
Chicago	Bears	CHI	D/ST	15	0	43	71	4	13	18	3.1	394	23.2	0	2301	5939
Cincinnati	Bengals	CIN	D/ST	13	0	46.5	67	7	13	17	3	448	26.4	0	2273	5759
Miami	Dolphins	MIA	D/ST	10	0	52.5	73	9	13	18	2.7	475	27.9	0	2156	5822
Tampa Bay	Buccaneers	TB	D/ST	12	0	40.1	68	2	14	19	2.8	419	24.6	0	1861	5460
Las Vegas	Raiders	LV	D/ST	11	0	47.2	72	6	12	17	2.4	474	27.9	0	1777	5421
Green Bay	Packers	GB	D/ST	13	0	39.2	72	4	12	16	2.7	376	22.1	0	1851	5181
Washington	Commanders	WAS	D/ST	11	0	46.9	70	4	9	12	2.8	455	26.8	0	2183	6139
Indianapolis	Colts	IND	D/ST	12	0	40.9	68	2	11	15	2.7	402	23.6	0	1820	5198
Jacksonville	Jaguars	JAX	D/ST	13	0	32.6	70	5	12	17	3.4	387	22.8	0	1863	5102
Kansas City	Chiefs	KC	D/ST	12	0	43.9	71	3	10	14	2.5	363	21.4	0	1762	5100
New York	Giants	NYG	D/ST	11	0	40.4	70	6	11	16	2.7	466	27.4	0	2532	6179
Carolina	Panthers	CAR	D/ST	13	0	42.4	71	9	9	13	2.3	421	24.8	0	2070	5664
San Francisco	49ers	SF	D/ST	11	0	31.9	72	3	12	17	2.6	408	24	0	1942	5419
Tennessee	Titans	TEN	D/ST	10	0	53.2	72	3	12	16	2.7	521	30.6	0	2073	5936
Arizona	Cardinals	ARI	D/ST	12	0	35.4	74	7	12	16	2.5	518	30.5	0	2074	6025
Dallas	Cowboys	DAL	D/ST	9	0	43.4	72	7	11	15	2.4	499	29.4	0	2203	6218
New York	Jets	NYJ	D/ST	11	0	35.8	67	7	9	12	3.1	492	28.9	0	1876	5427
