Overall Rank,Pos Rank,Player,Team,Pos,Depth Chart,Projected Points,Value,Projected Round
1,1,Christian McCaffrey,SF,RB,RB1,347.96,246.02,1
2,1,CeeDee Lamb,DAL,WR,WR1,337.44,195.59,1
3,2,Breece Hall,NYJ,RB,RB1,292.15,190.21,1
4,3,Bijan Robinson,ATL,RB,RB1,290.82,188.88,1
5,2,Tyreek Hill,MIA,WR,WR1,326.09,184.25,1
6,4,Saquon Barkley,PHI,RB,RB1,263.8,161.86,1
7,3,Amon-Ra St. Brown,DET,WR,WR1,298.49,156.64,1
8,4,Ja'Marr Chase,CIN,WR,WR1,292.14,150.3,1
9,5,Justin Jefferson,MIN,WR,WR1,290.7,148.86,1
10,5,Jonathan Taylor,IND,RB,RB1,247.82,145.88,1
11,6,Puka Nacua,LAR,WR,WR1,277.13,135.29,1
12,6,Jahmyr Gibbs,DET,RB,RB1,237.17,135.23,1
13,7,A.J. Brown,PHI,WR,WR1,275.7,133.85,2
14,7,Kyren Williams,LAR,RB,RB1,233.56,131.62,2
15,8,De'Von Achane,MIA,RB,RB1,227.22,125.28,2
16,9,Travis Etienne Jr.,JAC,RB,RB1,225.25,123.31,2
17,10,James Cook,BUF,RB,RB1,224.92,122.98,2
18,11,Rachaad White,TB,RB,RB1,224.69,122.75,2
19,8,Garrett Wilson,NYJ,WR,WR1,264.18,122.33,2
20,12,Isiah Pacheco,KC,RB,RB1,223.81,121.87,2
21,13,Derrick Henry,BAL,RB,RB1,223.67,121.73,2
22,14,Alvin Kamara,NO,RB,RB1,223.19,121.25,2
23,15,Josh Jacobs,GB,RB,RB1,216.9,114.96,2
24,16,Joe Mixon,HOU,RB,RB1,213.19,111.25,2
25,1,Josh Allen,BUF,QB,QB1,445.74,109.39,3
26,2,Jalen Hurts,PHI,QB,QB1,445.2,108.84,3
27,9,Chris Olave,NO,WR,WR1,246.23,104.38,3
28,10,Marvin Harrison Jr.,ARI,WR,WR1,245.9,104.06,3
29,11,Davante Adams,LV,WR,WR1,244.01,102.17,3
30,17,Aaron Jones,MIN,RB,RB1,201.99,100.05,3
31,12,Nico Collins,HOU,WR,WR1,240.52,98.67,3
32,3,Patrick Mahomes II,KC,QB,QB1,434.96,98.61,3
33,13,Cooper Kupp,LAR,WR,WR2,240.45,98.6,3
34,14,Drake London,ATL,WR,WR1,240.13,98.28,3
35,15,DeVonta Smith,PHI,WR,WR2,236.28,94.43,3
36,16,Mike Evans,TB,WR,WR1,236.17,94.32,3
37,17,Deebo Samuel Sr.,SF,WR,WR1,234.68,92.84,4
38,18,Kenneth Walker III,SEA,RB,RB1,194.14,92.2,4
39,19,James Conner,ARI,RB,RB1,193.79,91.85,4
40,20,Zamir White,LV,RB,RB1,190.92,88.98,4
41,21,Rhamondre Stevenson,NE,RB,RB1,190.62,88.68,4
42,18,Brandon Aiyuk,SF,WR,WR2,230.48,88.63,4
43,22,D'Andre Swift,CHI,RB,RB1,188.83,86.89,4
44,19,DK Metcalf,SEA,WR,WR1,228.03,86.18,4
45,20,Jaylen Waddle,MIA,WR,WR2,227.79,85.95,4
46,21,Amari Cooper,CLE,WR,WR1,227.33,85.48,4
47,22,Stefon Diggs,HOU,WR,WR2,226.37,84.52,4
48,23,Michael Pittman Jr.,IND,WR,WR1,226.14,84.29,4
49,24,DJ Moore,CHI,WR,WR1,226.04,84.2,5
50,23,Najee Harris,PIT,RB,RB2,185.32,83.38,5
51,24,David Montgomery,DET,RB,RB2,183.62,81.68,5
52,25,Jaylen Warren,PIT,RB,RB1,182.49,80.55,5
53,25,George Pickens,PIT,WR,WR1,218.92,77.07,5
54,4,Lamar Jackson,BAL,QB,QB1,413.09,76.73,5
55,26,Javonte Williams,DEN,RB,RB1,178.65,76.71,5
56,26,Zay Flowers,BAL,WR,WR1,217.96,76.11,5
57,27,Tank Dell,HOU,WR,WR3,216.57,74.72,5
58,28,Tee Higgins,CIN,WR,WR2,216.28,74.43,5
59,27,Raheem Mostert,MIA,RB,RB2,175.94,74,5
60,28,Brian Robinson Jr.,WAS,RB,RB1,175.55,73.61,5
61,29,Tony Pollard,TEN,RB,RB1,174.72,72.78,6
62,29,Malik Nabers,NYG,WR,WR1,214.24,72.39,6
63,30,Zack Moss,CIN,RB,RB2,174.25,72.31,6
64,30,Chris Godwin,TB,WR,WR2,213.76,71.91,6
65,1,Travis Kelce,KC,TE,TE1,217.46,71.38,6
66,5,C.J. Stroud,HOU,QB,QB1,407.52,71.17,6
67,31,Christian Kirk,JAC,WR,WR1,211.88,70.04,6
68,31,Devin Singletary,NYG,RB,RB1,171.37,69.43,6
69,32,Tyjae Spears,TEN,RB,RB2,170.06,68.12,6
70,2,Sam LaPorta,DET,TE,TE1,213.59,67.52,6
71,33,Chase Brown,CIN,RB,RB1,169.33,67.39,6
72,32,Calvin Ridley,TEN,WR,WR2,208.05,66.2,6
73,34,Austin Ekeler,WAS,RB,RB2,168.04,66.1,7
74,6,Dak Prescott,DAL,QB,QB1,401.67,65.32,7
75,7,Joe Burrow,CIN,QB,QB1,400.22,63.86,7
76,33,Terry McLaurin,WAS,WR,WR1,203.92,62.07,7
77,35,Nick Chubb,CLE,RB,RB1,163.86,61.92,7
78,34,Rashee Rice,KC,WR,WR1,202.21,60.36,7
79,35,Jayden Reed,GB,WR,WR1,201.44,59.59,7
80,36,Keenan Allen,CHI,WR,WR2,201.3,59.46,7
81,8,Brock Purdy,SF,QB,QB1,394.1,57.75,7
82,9,Jordan Love,GB,QB,QB1,390.88,54.52,7
83,3,Mark Andrews,BAL,TE,TE1,199.92,53.85,7
84,36,Gus Edwards,LAC,RB,RB1,153.51,51.57,7
85,37,Jonathon Brooks,CAR,RB,RB1,153.32,51.38,8
86,4,Trey McBride,ARI,TE,TE1,196.88,50.8,8
87,37,Diontae Johnson,CAR,WR,WR1,191.09,49.25,8
88,38,Jerome Ford,CLE,RB,RB2,151.18,49.24,8
89,39,Ezekiel Elliott,DAL,RB,RB1,150.73,48.79,8
90,10,Anthony Richardson,IND,QB,QB1,383,46.64,8
91,5,Dalton Kincaid,BUF,TE,TE1,190.82,44.75,8
92,6,George Kittle,SF,TE,TE1,188.54,42.46,8
93,38,Jordan Addison,MIN,WR,WR2,183.61,41.77,8
94,39,DeAndre Hopkins,TEN,WR,WR1,183.55,41.71,8
95,40,Rome Odunze,CHI,WR,WR3,182.25,40.4,8
96,11,Kyler Murray,ARI,QB,QB1,376.46,40.11,8
97,41,Hollywood Brown,KC,WR,WR3,181.95,40.1,9
98,42,Ladd McConkey,LAC,WR,WR2,180.27,38.42,9
99,12,Jared Goff,DET,QB,QB1,374.63,38.27,9
100,43,Xavier Worthy,KC,WR,WR2,178.75,36.9,9
101,7,Kyle Pitts,ATL,TE,TE1,182.06,35.99,9
102,44,Christian Watson,GB,WR,WR2,177.67,35.82,9
103,45,Courtland Sutton,DEN,WR,WR1,177.21,35.37,9
104,13,Trevor Lawrence,JAC,QB,QB1,371,34.65,9
105,14,Justin Herbert,LAC,QB,QB1,370.07,33.72,9
106,46,Jaxon Smith-Njigba,SEA,WR,WR2,174.89,33.04,9
107,47,Tyler Lockett,SEA,WR,WR3,174.79,32.94,9
108,40,Antonio Gibson,NE,RB,RB2,133.43,31.49,9
109,8,Evan Engram,JAC,TE,TE1,177.02,30.94,10
110,48,Jerry Jeudy,CLE,WR,WR2,172.25,30.41,10
111,41,Rico Dowdle,DAL,RB,RB2,132.06,30.12,10
112,49,Brian Thomas Jr.,JAC,WR,WR2,171.87,30.03,10
113,42,Zach Charbonnet,SEA,RB,RB2,131.27,29.33,10
114,50,Jameson Williams,DET,WR,WR2,169.69,27.85,10
115,9,Jake Ferguson,DAL,TE,TE1,173.34,27.26,10
116,43,Tyler Allgeier,ATL,RB,RB2,129.03,27.09,10
117,51,Curtis Samuel,BUF,WR,WR1,168.23,26.38,10
118,52,Romeo Doubs,GB,WR,WR3,167.95,26.1,10
119,53,Joshua Palmer,LAC,WR,WR1,167.89,26.05,10
120,44,J.K. Dobbins,LAC,RB,RB2,127.96,26.02,10
121,54,Jakobi Meyers,LV,WR,WR2,167.1,25.25,11
122,55,Khalil Shakir,BUF,WR,WR2,166.54,24.69,11
123,10,David Njoku,CLE,TE,TE1,170.66,24.58,11
124,15,Tua Tagovailoa,MIA,QB,QB1,360.55,24.2,11
125,56,Keon Coleman,BUF,WR,WR3,165.88,24.04,11
126,45,Trey Benson,ARI,RB,RB2,125.92,23.98,11
127,46,Blake Corum,LAR,RB,RB2,125.58,23.64,11
128,47,Chuba Hubbard,CAR,RB,RB2,125.31,23.37,11
129,57,Adam Thielen,CAR,WR,WR2,163.78,21.94,11
130,58,Brandin Cooks,DAL,WR,WR2,163.63,21.79,11
131,16,Caleb Williams,CHI,QB,QB1,357.4,21.05,11
132,17,Kirk Cousins,ATL,QB,QB1,356.8,20.44,11
133,1,Baltimore Ravens,BAL,DST,,142.5,20.43,12
134,1,Younghoe Koo,ATL,K,PK1,168.06,18.18,12
135,59,Mike Williams,NYJ,WR,WR2,159.95,18.1,12
136,60,DeMario Douglas,NE,WR,WR1,158.89,17.04,12
137,48,Ty Chandler,MIN,RB,RB2,118.31,16.37,12
138,2,Dallas Cowboys,DAL,DST,,138.27,16.2,12
139,49,Jaleel McLaughlin,DEN,RB,RB2,117.94,16,12
140,18,Matthew Stafford,LAR,QB,QB1,351.93,15.57,12
141,19,Baker Mayfield,TB,QB,QB1,350.24,13.88,12
142,61,Rashid Shaheed,NO,WR,WR2,155.42,13.57,12
143,3,Kansas City Chiefs,KC,DST,,135.17,13.1,12
144,11,Dallas Goedert,PHI,TE,TE1,158.63,12.56,12
145,12,Brock Bowers,LV,TE,TE1,158.15,12.07,13
146,2,Harrison Butker,KC,K,PK1,161.15,11.27,13
147,3,Justin Tucker,BAL,K,PK1,160.72,10.85,13
148,4,New York Jets,NYJ,DST,,131.83,9.77,13
149,4,Brandon Aubrey,DAL,K,PK1,159.4,9.52,13
150,20,Jayden Daniels,WAS,QB,QB1,345.38,9.03,13
151,21,Derek Carr,NO,QB,QB1,344.76,8.4,13
152,22,Deshaun Watson,CLE,QB,QB1,344.34,7.99,13
